feature_id,label,source_name,MQScore,SharedPeaks,MZErrorPPM,library_precursor_mz,library_rt_seconds,curated_name,Compound_Name,name_key,Class,SubClass,Sub_subclass,condition,retain,exclusion_reason
25783,25783,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,0.903424,3,2.16628,732.552,461.108,PC(18:1/14:0),PC(18:1/14:0),PC(18:1/14:0),Glycerophospholipid,Phosphatidylcholine,NA,CTL,TRUE,NA
7567,7567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
6474,6474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
9796,9796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
16944,16944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
21919,21919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
34017,34017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
31753,31753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
33969,33969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
26913,26913,"1,2-Dipalmitoyl-sn-glycero-O-ethyl-3-phosphatidylcholine cation",0.937946,5,0.166179,734.569,483.428,NA,"1,2-Dipalmitoyl-sn-glycero-O-ethyl-3-phosphatidylcholine cation","1,2-Dipalmitoyl-sn-glycero-O-ethyl-3-phosphatidylcholine cation",NA,NA,NA,CTL,FALSE,unclassified_annotation
27820,27820,"1,2-Dipalmitoyl-sn-glycero-O-ethyl-3-phosphatidylcholine cation",0.87689,4,0.664718,734.569,492.034,NA,"1,2-Dipalmitoyl-sn-glycero-O-ethyl-3-phosphatidylcholine cation","1,2-Dipalmitoyl-sn-glycero-O-ethyl-3-phosphatidylcholine cation",NA,NA,NA,CTL,FALSE,unclassified_annotation
7462,7462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
13587,13587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
19494,19494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
15933,15933,"1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine",0.875049,14,0,736.491,307.932,PE (18:3/18:3),PE (18:3/18:3),PE (18:3/18:3),NA,NA,NA,CTL,FALSE,unclassified_annotation
33119,33119,TG(12:0/12:0/18:2); [M+NH4]+ C45H86N1O6,0.852448,12,0.248567,736.646,640.817,NA,TG(12:0/12:0/18:2),TG(12:0/12:0/18:2),Glycerolipid,Triacylglycerol,NA,CTL,TRUE,NA
8754,8754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
10379,10379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
8846,8846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
12017,12017,PE(18:2/18:3); [M+H]+ C41H73N1O8P1,0.466337,10,0.413233,738.507,260.416,NA,PE(18:2/18:3),PE(18:2/18:3),Glycerophospholipid,Phosphatidylethanolamine,NA,CTL,TRUE,NA
21699,21699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
18001,18001,PE(18:2/18:3); [M+H]+ C41H73N1O8P1,0.891163,19,0.909113,738.507,332.009,NA,PE(18:2/18:3),PE(18:2/18:3),Glycerophospholipid,Phosphatidylethanolamine,NA,CTL,TRUE,NA
17120,17120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
34201,34201,TG(12:0/12:0/18:1); [M+NH4]+ C45H88N1O6,0.861111,13,0.413147,738.661,670.505,NA,TG(12:0/12:0/18:1),TG(12:0/12:0/18:1),Glycerolipid,Triacylglycerol,TG,CTL,TRUE,NA
31589,31589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
24217,24217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
11675,11675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
6811,6811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
23689,23689,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,0.44012,6,0.41211,740.52,416.488,PE(16:0/18:1),PE(16:0/18:1),PE(16:0/18:1),Glycerophospholipid,Phosphatidylethanolamine,NA,CTL,TRUE,NA
13217,13217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
19683,19683,PE(18:2/18:2); [M+H]+ C41H75N1O8P1,0.874152,15,0.247265,740.523,358.925,NA,PE(18:2/18:2),PE(18:2/18:2),Glycerophospholipid,Glycerophosphoethanolamine,Phosphatidylethanolamine,CTL,TRUE,NA
17946,17946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
31685,31685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
34015,34015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
34896,34896,TG(12:0/12:0/18:0); [M+NH4]+ C45H90N1O6,0.880014,13,0.329618,740.677,701.03,NA,TG(12:0/12:0/18:0),TG(12:0/12:0/18:0),NA,NA,NA,CTL,FALSE,unclassified_annotation
31748,31748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
9728,9728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
11760,11760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
33123,33123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
7005,7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
6222,6222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
19311,19311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
22707,22707,PC(16:1/17:2); [M+H]+ C41H77N1O8P1,0.833059,3,0.164396,742.539,391.302,NA,PC(16:1/17:2),PC(16:1/17:2),NA,NA,NA,CTL,FALSE,unclassified_annotation
21569,21569,PC(16:1/17:2); [M+H]+ C41H77N1O8P1,0.84385,4,0.164396,742.539,383.097,NA,PC(16:1/17:2),PC(16:1/17:2),NA,NA,NA,CTL,FALSE,unclassified_annotation
16547,16547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
20012,20012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
