GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3004G197700,DUF4283 domain-containing protein,3,3,6.003575e-11
SORBI_3003G252200,Homeobox-DDT domain protein RLT1,2,2,6.551256e-11
SORBI_3001G223100,Uncharacterized protein,2,12,7.079967e-11
SORBI_3010G140600,BolA-like protein,2,4,7.38504e-11
SORBI_3008G103066,Secreted protein,2,2,7.446227e-11
SORBI_3005G182701,rRNA N-glycosidase,2,2,8.937734e-11
SORBI_3010G140750,CCHC-type domain-containing protein,2,4,9.116389e-11
SORBI_3010G127300,Protein kinase domain-containing protein,2,2,9.595744e-11
SORBI_3010G127550,CCHC-type domain-containing protein,2,2,9.595744e-11
SORBI_3010G127600,Peptidase A1 domain-containing protein,2,2,9.595744e-11
SORBI_3010G142700,Uncharacterized protein,2,4,1.05987e-10
SORBI_3010G143300,Neprosin domain-containing protein,2,4,1.05987e-10
SORBI_3010G142900,Oleosin,2,3,1.05987e-10
SORBI_3010G140150,CCHC-type domain-containing protein,2,3,1.082071e-10
SORBI_3009G069600,Malic enzyme,2,2,1.093331e-10
SORBI_3005G144101,Glycosyltransferase 6,2,5,1.167477e-10
SORBI_3005G144201,Transmembrane protein 87B,2,5,1.167477e-10
SORBI_3001G127300,Uncharacterized protein,2,5,1.177076e-10
SORBI_3006G277550,Plant heme peroxidase family profile domain-containing protein,2,9,1.240061e-10
SORBI_3006G277900,Phosphatidylinositol-specific phospholipase C X domain-containing protein,2,9,1.240061e-10
SORBI_3006G278100,Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein,2,9,1.240061e-10
SORBI_3006G278300,Thaumatin-like protein,2,9,1.240061e-10
SORBI_3006G278400,C2H2-type domain-containing protein,2,9,1.240061e-10
SORBI_3006G278500,GMP synthase [glutamine-hydrolyzing],2,9,1.240061e-10
SORBI_3006G278600,Fe2OG dioxygenase domain-containing protein,2,9,1.240061e-10
SORBI_3010G139100,non-specific serine_threonine protein kinase,2,3,1.365799e-10
SORBI_3010G139200,Uncharacterized protein,2,3,1.365799e-10
SORBI_3010G139301,Uncharacterized protein,2,3,1.365799e-10
SORBI_3010G141500,Ubiquitin-like protease family profile domain-containing protein,2,2,1.479959e-10
SORBI_3010G141600,"Formate dehydrogenase, mitochondrial",2,2,1.479959e-10
SORBI_3010G146100,Uncharacterized protein,2,3,1.610997e-10
SORBI_3010G146200,Uncharacterized protein,2,3,1.610997e-10
