Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
LIN	SORBI_3001G099400;SORBI_3001G169100;SORBI_3001G454100;SORBI_3002G116100;SORBI_3002G306300;SORBI_3003G371400;SORBI_3003G371600;SORBI_3003G372100;SORBI_3004G311000;SORBI_3005G088500;SORBI_3008G104500;SORBI_3008G105500;SORBI_3008G106100;SORBI_3008G111100;SORBI_3008G111300;SORBI_3009G084400;SORBI_3009G136100;SORBI_3009G136600;SORBI_3009G152800;SORBI_3010G159400	transmembrane transporter activity	PC	1	MF	Individual lipid species	1	20	402	16	1.24	1.24	0.045	transmembrane transporter activity
LIN	SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G033400;SORBI_3001G103300;SORBI_3001G113800;SORBI_3001G115400;SORBI_3001G251200;SORBI_3002G111900;SORBI_3002G114800;SORBI_3002G117100;SORBI_3002G253800;SORBI_3002G274600;SORBI_3003G079800;SORBI_3003G081100;SORBI_3003G082401;SORBI_3003G268900;SORBI_3003G269000;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G127400;SORBI_3005G175500;SORBI_3006G243700;SORBI_3006G243800;SORBI_3008G015600;SORBI_3008G016200;SORBI_3008G082500;SORBI_3008G101300;SORBI_3008G123000;SORBI_3009G026800;SORBI_3009G038900;SORBI_3009G055600;SORBI_3009G077300;SORBI_3010G032500;SORBI_3010G107000;SORBI_3010G155401;SORBI_3010G170150;SORBI_3010G171000	nucleotide binding	TG	1	MF	Individual lipid species	1	37	1133	27	1.21	1.21	0.00458	nucleotide binding
LIN	SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G032550;SORBI_3001G099800;SORBI_3001G402300;SORBI_3003G087200;SORBI_3004G004100;SORBI_3004G009000;SORBI_3004G010050;SORBI_3005G119950;SORBI_3005G120301;SORBI_3006G183800;SORBI_3006G192000	nucleic acid binding	FA	1	MF	Class sums and ratios	1	13	970	10	1.19	1.19	0.0306	nucleic acid binding
LIN	SORBI_3001G009700;SORBI_3001G030800;SORBI_3001G034300;SORBI_3001G036800;SORBI_3001G040900;SORBI_3001G102300;SORBI_3001G106000;SORBI_3001G106200;SORBI_3001G127800;SORBI_3001G183200;SORBI_3001G183300;SORBI_3001G211500;SORBI_3001G286700;SORBI_3002G115900;SORBI_3002G116300;SORBI_3002G253000;SORBI_3004G043750;SORBI_3004G140501;SORBI_3004G181500;SORBI_3004G223600;SORBI_3005G204600;SORBI_3006G055300;SORBI_3007G013800;SORBI_3008G072800;SORBI_3008G072900;SORBI_3008G101300;SORBI_3008G148600;SORBI_3008G148700;SORBI_3008G148900;SORBI_3008G149100;SORBI_3008G149650;SORBI_3009G039000;SORBI_3009G039100;SORBI_3009G039200;SORBI_3009G039600;SORBI_3010G170600	DNA binding	TG	1	MF	Individual lipid species	1	36	1166	23	1.15	1.15	0.00818	DNA binding
LIN	SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G032550;SORBI_3001G034000;SORBI_3001G034600;SORBI_3001G039700;SORBI_3001G099800;SORBI_3001G105200;SORBI_3001G402300;SORBI_3002G262700;SORBI_3002G264200;SORBI_3002G265100;SORBI_3003G087200;SORBI_3003G122500;SORBI_3003G420100;SORBI_3004G004100;SORBI_3004G009000;SORBI_3004G010050;SORBI_3005G117801;SORBI_3005G119950;SORBI_3005G120301;SORBI_3006G183800;SORBI_3006G192000;SORBI_3007G180000;SORBI_3007G212300;SORBI_3010G224300	nucleic acid binding	FA	1	MF	Individual lipid species	1	26	970	18	1.14	1.14	0.0122	nucleic acid binding
LIN	SORBI_3001G009600;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G033400;SORBI_3001G041800;SORBI_3001G103300;SORBI_3001G105200;SORBI_3001G113800;SORBI_3001G115400;SORBI_3001G117200;SORBI_3001G129000;SORBI_3001G211500;SORBI_3001G251200;SORBI_3002G111900;SORBI_3002G114700;SORBI_3002G114800;SORBI_3002G116200;SORBI_3002G117100;SORBI_3002G253800;SORBI_3002G274600;SORBI_3002G321300;SORBI_3003G041700;SORBI_3003G079800;SORBI_3003G081100;SORBI_3003G082401;SORBI_3003G083500;SORBI_3003G107500;SORBI_3003G267700;SORBI_3003G268900;SORBI_3003G269000;SORBI_3003G271300;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G047200;SORBI_3004G087700;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3004G127400;SORBI_3004G181500;SORBI_3004G183800;SORBI_3005G175500;SORBI_3005G183900;SORBI_3005G187900;SORBI_3005G191200;SORBI_3006G243700;SORBI_3006G243800;SORBI_3007G210500;SORBI_3008G015600;SORBI_3008G016200;SORBI_3008G081900;SORBI_3008G082500;SORBI_3008G088200;SORBI_3008G101300;SORBI_3008G123000;SORBI_3009G026800;SORBI_3009G038900;SORBI_3009G055600;SORBI_3009G077300;SORBI_3009G083300;SORBI_3009G084000;SORBI_3010G032500;SORBI_3010G073700;SORBI_3010G074000;SORBI_3010G107000;SORBI_3010G155401;SORBI_3010G170150;SORBI_3010G171000	ATP binding	TG	1	MF	Individual lipid species	1	68	2232	45	1.13	1.13	0.00106	ATP binding
LIN	SORBI_3001G271100;SORBI_3003G033500;SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116200;SORBI_3010G133566;SORBI_3010G148600;SORBI_3010G148800;SORBI_3010G152700;SORBI_3010G163900;SORBI_3010G164800	DNA-binding transcription factor activity	SQDG	1	MF	Individual lipid species	1	11	909	9	1.13	1.13	0.0273	DNA-binding transcription factor activity
LIN	SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G103300;SORBI_3001G403200;SORBI_3002G186300;SORBI_3002G187400;SORBI_3003G088100;SORBI_3004G005300;SORBI_3004G007133;SORBI_3004G007800;SORBI_3004G009000;SORBI_3004G009600;SORBI_3004G028600;SORBI_3004G059200;SORBI_3004G060900;SORBI_3004G061400;SORBI_3005G175500;SORBI_3006G187000;SORBI_3006G190300;SORBI_3006G195500;SORBI_3006G216800;SORBI_3006G219300;SORBI_3010G213900;SORBI_3010G215300;SORBI_3010G217200;SORBI_3010G217400	ATP binding	FA	1	MF	Class sums and ratios	1	28	2232	14	1.11	1.11	0.0205	ATP binding
LIN	SORBI_3001G036600;SORBI_3001G039400;SORBI_3002G262700;SORBI_3003G122500;SORBI_3003G236701;SORBI_3003G420100;SORBI_3004G047500;SORBI_3004G309900;SORBI_3004G310300;SORBI_3005G119950;SORBI_3005G120301;SORBI_3006G278600	mRNA binding	FA	1	MF	Individual lipid species	1	12	474	9	1.08	1.08	0.045	mRNA binding
LIN	SORBI_3010G107000;SORBI_3010G119300;SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300;SORBI_3010G138500;SORBI_3010G139100;SORBI_3010G139600;SORBI_3010G155401;SORBI_3010G163800;SORBI_3010G165300	nucleotide binding	SQDG	1	MF	Individual lipid species	1	13	1133	11	1.07	1.07	0.0425	nucleotide binding
LIN	SORBI_3001G001200;SORBI_3001G128200;SORBI_3001G249200;SORBI_3001G312700;SORBI_3001G436600;SORBI_3001G526300;SORBI_3001G527800;SORBI_3002G251800;SORBI_3002G253600;SORBI_3002G380500;SORBI_3003G045200;SORBI_3003G231900;SORBI_3003G374850;SORBI_3003G375000;SORBI_3003G388300;SORBI_3004G019900;SORBI_3004G045300;SORBI_3004G349700;SORBI_3005G018050;SORBI_3006G118300;SORBI_3006G231700;SORBI_3007G014800;SORBI_3007G091600;SORBI_3007G180000;SORBI_3007G183700;SORBI_3007G216401;SORBI_3008G098700;SORBI_3008G099900;SORBI_3008G100000;SORBI_3008G100300;SORBI_3008G100400;SORBI_3008G103900;SORBI_3008G110000;SORBI_3008G179000;SORBI_3009G010300;SORBI_3009G042500;SORBI_3009G083400;SORBI_3009G092900;SORBI_3009G238100;SORBI_3010G224300	RNA binding	PC	1	MF	Individual lipid species	1	40	940	35	1.06	1.06	0.00816	RNA binding
LIN	SORBI_3001G002000;SORBI_3001G037400;SORBI_3001G168400;SORBI_3001G258000;SORBI_3001G273500;SORBI_3001G384500;SORBI_3001G435201;SORBI_3001G527700;SORBI_3002G027600;SORBI_3002G027700;SORBI_3002G107900;SORBI_3002G114800;SORBI_3002G117100;SORBI_3002G155400;SORBI_3002G307300;SORBI_3003G106000;SORBI_3003G370100;SORBI_3003G372200;SORBI_3003G375800;SORBI_3003G383100;SORBI_3003G413201;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G066900;SORBI_3004G104800;SORBI_3004G104900;SORBI_3004G252200;SORBI_3005G226000;SORBI_3006G163401;SORBI_3006G228200;SORBI_3006G243700;SORBI_3006G243800;SORBI_3007G038000;SORBI_3007G089300;SORBI_3007G149700;SORBI_3007G149800;SORBI_3007G149900;SORBI_3007G215900;SORBI_3008G099300;SORBI_3008G099600;SORBI_3009G011700;SORBI_3009G018450;SORBI_3009G018600;SORBI_3009G019200;SORBI_3009G026800;SORBI_3009G038900;SORBI_3009G082200;SORBI_3009G082600;SORBI_3009G087200;SORBI_3009G129700;SORBI_3009G173100;SORBI_3009G200800;SORBI_3009G251800;SORBI_3010G215300	protein kinase activity	PC	1	MF	Individual lipid species	1	54	1279	43	1.05	1.05	0.00458	protein kinase activity
LIN	SORBI_3001G168400;SORBI_3001G273500;SORBI_3001G384500;SORBI_3001G527700;SORBI_3002G027600;SORBI_3002G107900;SORBI_3002G114800;SORBI_3002G155400;SORBI_3003G370100;SORBI_3003G372200;SORBI_3003G413201;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G104800;SORBI_3004G104900;SORBI_3004G252200;SORBI_3005G226000;SORBI_3006G228200;SORBI_3007G038000;SORBI_3007G149700;SORBI_3007G149800;SORBI_3007G149900;SORBI_3009G011700;SORBI_3009G019000;SORBI_3009G019200;SORBI_3009G026800;SORBI_3009G082600;SORBI_3009G087200;SORBI_3009G173100	protein serine/threonine kinase activity	PC	1	MF	Individual lipid species	1	29	690	23	1.05	1.05	0.045	protein serine/threonine kinase activity
LIN	SORBI_3001G257800;SORBI_3006G025300;SORBI_3008G091300;SORBI_3010G107000;SORBI_3010G119300;SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300;SORBI_3010G133400;SORBI_3010G134000;SORBI_3010G136900;SORBI_3010G137300;SORBI_3010G137400;SORBI_3010G138000;SORBI_3010G138500;SORBI_3010G139100;SORBI_3010G139600;SORBI_3010G143500;SORBI_3010G153300;SORBI_3010G155401;SORBI_3010G163800;SORBI_3010G165300;SORBI_3010G165500	ATP binding	SQDG	1	MF	Individual lipid species	1	25	2232	21	1.04	1.04	0.00458	ATP binding
LIN	SORBI_3001G271100;SORBI_3003G033500;SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116200;SORBI_3010G123500;SORBI_3010G133566;SORBI_3010G138600;SORBI_3010G141700;SORBI_3010G146400;SORBI_3010G148600;SORBI_3010G148800;SORBI_3010G151325;SORBI_3010G152700;SORBI_3010G163900;SORBI_3010G164800	regulation of DNA-templated transcription	SQDG	1	BP	Individual lipid species	1	16	1464	14	1.02	1.02	0.024	regulation of DNA-templated transcription
LIN	SORBI_3001G000400;SORBI_3001G002000;SORBI_3001G037400;SORBI_3001G103300;SORBI_3001G129000;SORBI_3001G168400;SORBI_3001G191500;SORBI_3001G211500;SORBI_3001G228200;SORBI_3001G230000;SORBI_3001G257800;SORBI_3001G258000;SORBI_3001G273500;SORBI_3001G384500;SORBI_3001G435201;SORBI_3001G457800;SORBI_3001G527700;SORBI_3001G527800;SORBI_3002G026300;SORBI_3002G027600;SORBI_3002G027700;SORBI_3002G107900;SORBI_3002G114700;SORBI_3002G114800;SORBI_3002G116200;SORBI_3002G117100;SORBI_3002G155400;SORBI_3002G156400;SORBI_3002G253800;SORBI_3002G307300;SORBI_3003G106000;SORBI_3003G370100;SORBI_3003G370300;SORBI_3003G372200;SORBI_3003G373500;SORBI_3003G375800;SORBI_3003G383100;SORBI_3003G413201;SORBI_3004G011700;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G047200;SORBI_3004G066900;SORBI_3004G104800;SORBI_3004G104900;SORBI_3004G131040;SORBI_3004G181500;SORBI_3004G183800;SORBI_3004G252200;SORBI_3005G098800;SORBI_3005G225800;SORBI_3005G226000;SORBI_3006G163401;SORBI_3006G216800;SORBI_3006G219300;SORBI_3006G228200;SORBI_3006G243700;SORBI_3006G243800;SORBI_3007G038000;SORBI_3007G039400;SORBI_3007G089300;SORBI_3007G090900;SORBI_3007G091400;SORBI_3007G149700;SORBI_3007G149800;SORBI_3007G149900;SORBI_3007G215900;SORBI_3008G099300;SORBI_3008G099600;SORBI_3008G101300;SORBI_3009G011700;SORBI_3009G018450;SORBI_3009G018600;SORBI_3009G019200;SORBI_3009G024800;SORBI_3009G026800;SORBI_3009G038900;SORBI_3009G082200;SORBI_3009G082600;SORBI_3009G084000;SORBI_3009G087000;SORBI_3009G087200;SORBI_3009G129400;SORBI_3009G129700;SORBI_3009G172950;SORBI_3009G173100;SORBI_3009G184200;SORBI_3009G200800;SORBI_3009G251500;SORBI_3009G251800;SORBI_3010G215300	ATP binding	PC	1	MF	Individual lipid species	1	91	2232	63	1.01	1.01	0.00106	ATP binding
LIN	SORBI_3001G002000;SORBI_3001G103300;SORBI_3001G168400;SORBI_3001G273500;SORBI_3001G384500;SORBI_3001G527700;SORBI_3002G107900;SORBI_3002G114800;SORBI_3002G117100;SORBI_3002G155400;SORBI_3002G253800;SORBI_3003G369200;SORBI_3003G370100;SORBI_3003G373500;SORBI_3003G375800;SORBI_3003G383100;SORBI_3003G413201;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G066900;SORBI_3004G104800;SORBI_3004G104900;SORBI_3004G252200;SORBI_3005G226000;SORBI_3006G228200;SORBI_3006G243700;SORBI_3006G243800;SORBI_3007G037900;SORBI_3007G038000;SORBI_3007G039400;SORBI_3007G089300;SORBI_3007G215900;SORBI_3008G099300;SORBI_3008G099600;SORBI_3008G101300;SORBI_3009G011700;SORBI_3009G018600;SORBI_3009G019200;SORBI_3009G026800;SORBI_3009G038900;SORBI_3009G082200;SORBI_3009G082600;SORBI_3009G129400;SORBI_3009G129700;SORBI_3009G173100;SORBI_3010G215300	nucleotide binding	PC	1	MF	Individual lipid species	1	46	1133	36	1.01	1.01	0.0139	nucleotide binding
LIN	SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G033400;SORBI_3001G113800;SORBI_3001G115400;SORBI_3001G117200;SORBI_3002G111900;SORBI_3002G114800;SORBI_3002G117100;SORBI_3002G274600;SORBI_3003G079800;SORBI_3003G081100;SORBI_3003G082401;SORBI_3003G083500;SORBI_3003G268900;SORBI_3003G269000;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G127400;SORBI_3005G175500;SORBI_3005G187900;SORBI_3006G243700;SORBI_3006G243800;SORBI_3008G015600;SORBI_3008G016200;SORBI_3008G081300;SORBI_3009G026800;SORBI_3009G038900;SORBI_3009G055600;SORBI_3009G077300;SORBI_3010G032500;SORBI_3010G074000;SORBI_3010G155401;SORBI_3010G170150	protein kinase activity	TG	1	MF	Individual lipid species	1	34	1279	24	0.99	0.99	0.045	protein kinase activity
LIN	SORBI_3001G026000;SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G033400;SORBI_3001G037400;SORBI_3001G039500;SORBI_3001G060100;SORBI_3001G103300;SORBI_3001G105200;SORBI_3001G211500;SORBI_3001G403200;SORBI_3002G166150;SORBI_3002G186300;SORBI_3002G187400;SORBI_3002G262600;SORBI_3002G262850;SORBI_3002G263700;SORBI_3003G077900;SORBI_3003G088100;SORBI_3003G383100;SORBI_3003G420500;SORBI_3004G005300;SORBI_3004G007133;SORBI_3004G007800;SORBI_3004G009000;SORBI_3004G009600;SORBI_3004G028600;SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G047200;SORBI_3004G059200;SORBI_3004G060900;SORBI_3004G061400;SORBI_3004G066900;SORBI_3004G181500;SORBI_3005G175500;SORBI_3006G187000;SORBI_3006G190300;SORBI_3006G195500;SORBI_3006G216800;SORBI_3006G219300;SORBI_3006G278500;SORBI_3007G059600;SORBI_3007G162400;SORBI_3008G081900;SORBI_3010G213900;SORBI_3010G215300;SORBI_3010G217200;SORBI_3010G217400	ATP binding	FA	1	MF	Individual lipid species	1	51	2232	30	0.97	0.97	0.0221	ATP binding
LIN	SORBI_3001G030800;SORBI_3001G034300;SORBI_3001G036800;SORBI_3001G037000;SORBI_3001G040900;SORBI_3001G102300;SORBI_3001G106000;SORBI_3001G106200;SORBI_3001G116900;SORBI_3001G127800;SORBI_3001G183100;SORBI_3001G286700;SORBI_3002G050700;SORBI_3002G114200;SORBI_3002G116600;SORBI_3002G221400;SORBI_3002G253000;SORBI_3003G040800;SORBI_3003G041400;SORBI_3003G081000;SORBI_3003G186200;SORBI_3003G200700;SORBI_3003G385100;SORBI_3004G126900;SORBI_3004G184200;SORBI_3007G011900;SORBI_3007G013800;SORBI_3008G072800;SORBI_3008G072900;SORBI_3008G082000;SORBI_3008G088848;SORBI_3008G149650;SORBI_3009G077100;SORBI_3009G083800;SORBI_3010G116200;SORBI_3010G170600	regulation of DNA-templated transcription	TG	1	BP	Individual lipid species	1	36	1464	28	0.91	0.91	0.0405	regulation of DNA-templated transcription
LIN	SORBI_3001G102300;SORBI_3001G127800;SORBI_3001G166700;SORBI_3001G286700;SORBI_3001G290400;SORBI_3001G528200;SORBI_3001G531100;SORBI_3002G114200;SORBI_3002G116600;SORBI_3002G121600;SORBI_3002G251700;SORBI_3002G253000;SORBI_3003G044900;SORBI_3003G096300;SORBI_3003G105800;SORBI_3003G368300;SORBI_3003G373000;SORBI_3003G385100;SORBI_3003G412600;SORBI_3004G078800;SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G184200;SORBI_3004G253300;SORBI_3006G118100;SORBI_3006G118150;SORBI_3006G118200;SORBI_3006G119400;SORBI_3006G120301;SORBI_3006G120400;SORBI_3007G180300;SORBI_3007G181500;SORBI_3007G183050;SORBI_3007G217700;SORBI_3008G071200;SORBI_3008G107500;SORBI_3009G083800;SORBI_3009G084500;SORBI_3009G084600;SORBI_3009G085100;SORBI_3009G086800;SORBI_3009G111200;SORBI_3009G153400;SORBI_3009G184300;SORBI_3009G238200;SORBI_3009G245500;SORBI_3009G250000;SORBI_3010G215100;SORBI_3010G221500;SORBI_3010G224200	regulation of DNA-templated transcription	PC	1	BP	Individual lipid species	1	50	1464	38	0.85	0.85	0.0405	regulation of DNA-templated transcription
