Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
LIN	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600	regulation of defense response (+2 related terms)	AEG	1	BP	Individual lipid species	1	3	24	1	34.55	34.55	0.0355	regulation of defense response; regulation of jasmonic acid mediated signaling pathway; response to wounding
LIN	SORBI_3003G394100;SORBI_3007G041500	sphingolipid metabolic process	AEG	1	BP	Individual lipid species	1	2	16	2	34.55	34.55	0.0355	sphingolipid metabolic process
LIN	SORBI_3010G143900;SORBI_3010G144400;SORBI_3010G152500	pentosyltransferase activity	MGDG	1	MF	Individual lipid species	1	3	31	2	33.1	33.1	0.0213	pentosyltransferase activity
LIN	SORBI_3001G035600;SORBI_3004G310100	flavonoid biosynthetic process	FA	1	BP	Individual lipid species	1	2	3	2	28.32	28.32	0.024	flavonoid biosynthetic process
LIN	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500	nitrate transmembrane transporter activity	FA	1	BP/MF	Individual lipid species	2	3	5	2	10.62	25.49	0.045	nitrate transmembrane transport | nitrate transmembrane transporter activity
LIN	SORBI_3003G087900;SORBI_3003G355200	GDP-mannose biosynthetic process	FA	1	BP	Class sums and ratios; Individual lipid species	2	2	7	2	12.14	25.29	0.00624	GDP-mannose biosynthetic process
LIN	SORBI_3001G100800;SORBI_3001G101100;SORBI_3009G249500	nucleotide transmembrane transport	PC	1	BP	Individual lipid species	1	3	3	2	24.88	24.88	0.00726	nucleotide transmembrane transport
LIN	SORBI_3010G116800;SORBI_3010G141001;SORBI_3010G141400	DNA topological change	SQDG	1	BP	Individual lipid species	1	3	12	3	23.25	23.25	0.00454	DNA topological change
LIN	SORBI_3002G263700;SORBI_3004G007133	nucleosome disassembly	FA	1	BP	Individual lipid species	1	2	4	2	21.24	21.24	0.024	nucleosome disassembly
LIN	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600	steroid Delta-isomerase activity and cholestenol delta-isomerase activity	PC	1	BP/MF	Individual lipid species	2	5	6	1	12.44	20.74	0.0213	cholestenol delta-isomerase activity; steroid Delta-isomerase activity | sterol biosynthetic process; sterol metabolic process
LIN	SORBI_3004G029900;SORBI_3010G214900	response to aluminum ion	FA	1	BP	Class sums and ratios; Individual lipid species	2	2	9	2	9.44	19.67	0.00687	response to aluminum ion
LIN	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	purine nucleobase transport (+2 related terms)	FA	1	BP/MF	Class sums and ratios; Individual lipid species	3	3	14	1	9.1	18.97	0.0101	purine nucleobase transmembrane transport; purine nucleobase transport; purine nucleoside transmembrane transport | purine nucleobase transmembrane transporter activity; purine nucleoside transmembrane transporter activity
LIN	SORBI_3003G407200;SORBI_3004G006600	transcription coregulator activity	AEG, DG, DGDG, GalCer, MG, MGDG, PG, SQDG	8	MF	Class sums and ratios	8	2	57	2	12.64	18.63	0.0132	transcription coregulator activity
LIN	SORBI_3001G033000;SORBI_3004G061800	rRNA methylation	FA	1	BP	Class sums and ratios	1	2	10	2	17.7	17.7	0.0101	rRNA methylation
LIN	SORBI_3001G034100;SORBI_3001G102300	phyllome development	FA, TG	2	BP	Individual lipid species	2	2	5	2	14.87	16.99	0.0297	phyllome development
LIN	SORBI_3001G192000;SORBI_3001G436900	plasma membrane phospholipid scrambling	PC	1	BP/MF	Individual lipid species	2	2	3	2	16.59	16.59	0.0213	phospholipid scramblase activity | plasma membrane phospholipid scrambling
LIN	SORBI_3001G211500;SORBI_3003G369200	lagging strand elongation	PC	1	BP	Individual lipid species	1	2	3	2	16.59	16.59	0.0297	lagging strand elongation
LIN	SORBI_3003G388000;SORBI_3009G104900	metaphase/anaphase transition of mitotic cell cycle	PC	1	BP	Individual lipid species	1	2	3	2	16.59	16.59	0.0301	metaphase/anaphase transition of mitotic cell cycle
LIN	SORBI_3001G312500;SORBI_3004G096300	protein serine/threonine phosphatase activity	DG	1	MF	Individual lipid species	1	2	124	2	15.5	15.5	0.0419	protein serine/threonine phosphatase activity
LIN	SORBI_3010G143900;SORBI_3010G144400;SORBI_3010G152300;SORBI_3010G152400;SORBI_3010G152500	pentosyltransferase activity	SQDG	1	MF	Individual lipid species	1	5	31	3	15	15	0.0213	pentosyltransferase activity
LIN	SORBI_3001G097900;SORBI_3001G212500;SORBI_3002G376300	endocytic recycling	PC	1	BP	Individual lipid species	1	3	5	3	14.93	14.93	0.00726	endocytic recycling
LIN	SORBI_3002G230100;SORBI_3003G234200;SORBI_3003G234500	carbon utilization	PC	1	BP	Individual lipid species	1	3	5	2	14.93	14.93	0.0405	carbon utilization
LIN	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G127200;SORBI_3010G127300	negative regulation of response to salt stress	SQDG	1	BP	Individual lipid species	1	4	25	2	14.88	14.88	0.0297	negative regulation of response to salt stress
LIN	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900	iron ion binding	AEG, DG, DGDG, GalCer, MG, PA, PC, PE, TG	9	MF	Class sums and ratios	9	5	433	1	5.55	13.71	0.00426	iron ion binding
LIN	SORBI_3001G263600;SORBI_3002G256700	protein deubiquitination	AEG	1	BP	Individual lipid species	1	2	41	2	13.48	13.48	0.0405	protein deubiquitination
LIN	SORBI_3001G338800;SORBI_3003G408800	regulation of double-strand break repair	PC	1	BP	Individual lipid species	1	2	4	2	12.44	12.44	0.0405	regulation of double-strand break repair
LIN	SORBI_3003G369200;SORBI_3007G182700	DNA synthesis involved in DNA repair	PC	1	BP	Individual lipid species	1	2	4	2	12.44	12.44	0.0355	DNA synthesis involved in DNA repair
LIN	SORBI_3001G045400;SORBI_3001G106200	anther dehiscence	TG	1	BP	Individual lipid species	1	2	6	2	12.39	12.39	0.048	anther dehiscence
LIN	SORBI_3004G151000;SORBI_3008G101300	chromosome organization involved in meiotic cell cycle	TG	1	BP	Individual lipid species	1	2	6	2	12.39	12.39	0.0405	chromosome organization involved in meiotic cell cycle
LIN	SORBI_3001G032800;SORBI_3006G219200	adenyl-nucleotide exchange factor activity	FA	1	MF	Class sums and ratios	1	2	16	2	11.06	11.06	0.0156	adenyl-nucleotide exchange factor activity
LIN	SORBI_3001G103300;SORBI_3004G061400	P-type calcium transporter activity	FA	1	MF	Class sums and ratios	1	2	16	2	11.06	11.06	0.0216	P-type calcium transporter activity
LIN	SORBI_3001G383000;SORBI_3004G103700	response to UV-B	PC	1	BP	Individual lipid species	1	2	5	2	9.95	9.95	0.0405	response to UV-B
LIN	SORBI_3003G369200;SORBI_3009G172950	mitotic DNA replication initiation	PC	1	BP	Individual lipid species	1	2	5	2	9.95	9.95	0.0405	mitotic DNA replication initiation
LIN	SORBI_3003G370800;SORBI_3004G104700	L-aspartate:2-oxoglutarate transaminase activity	PC	1	MF	Individual lipid species	1	2	5	2	9.95	9.95	0.0419	L-aspartate:2-oxoglutarate transaminase activity
LIN	SORBI_3003G412300;SORBI_3009G042800	cytokinesis by cell plate formation	PC	1	BP	Individual lipid species	1	2	5	2	9.95	9.95	0.0405	cytokinesis by cell plate formation
LIN	SORBI_3006G243400;SORBI_3010G214100	L-serine biosynthetic process	PC	1	BP	Individual lipid species	1	2	5	2	9.95	9.95	0.0405	L-serine biosynthetic process
LIN	SORBI_3003G382600;SORBI_3004G181800	positive regulation of organ growth	FA	1	BP	Individual lipid species	1	2	9	2	9.44	9.44	0.0405	positive regulation of organ growth
LIN	SORBI_3001G036050;SORBI_3004G223600	transcription initiation at RNA polymerase III promoter	TG	1	BP	Individual lipid species	1	2	8	2	9.29	9.29	0.0405	transcription initiation at RNA polymerase III promoter
LIN	SORBI_3001G125800;SORBI_3003G385500;SORBI_3003G385900	lipid oxidation	TG	1	BP	Individual lipid species	1	3	12	2	9.29	9.29	0.0405	lipid oxidation
LIN	SORBI_3002G374200;SORBI_3003G107500	transcription-coupled nucleotide-excision repair	TG	1	BP	Individual lipid species	1	2	8	2	9.29	9.29	0.048	transcription-coupled nucleotide-excision repair
