Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
MF	Individual lipid species	CTL	TG	enzyme inhibitor activity	GO:0004857	5	85	4	2.53	0.133	0.0402	SORBI_3001G024400;SORBI_3002G091200;SORBI_3002G091300;SORBI_3003G203900;SORBI_3009G111000
MF	Individual lipid species	CTL	TG	protein-lysine N-methyltransferase activity	GO:0016279	2	17	2	5.05	0.151	0.0455	SORBI_3001G122200;SORBI_3006G049600
MF	Individual lipid species	CTL	TG	long-chain-alcohol oxidase activity	GO:0046577	2	5	1	17.17	0.0316	0.0495	SORBI_3001G221300;SORBI_3001G221400
MF	Class sums and ratios	LIN	AEG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	144.83	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	AEG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	59.01	0.000192	0.00022	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	AEG	transcription coregulator activity	GO:0003712	2	57	2	18.63	0.0209	0.0132	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	AEG	iron ion binding	GO:0005506	5	433	1	6.13	0.00616	0.0179	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	AEG	copper ion binding	GO:0005507	2	68	1	15.62	0.0265	0.0294	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	Cer	DNA binding	GO:0003677	6	1166	1	5.47	0.00343	0.006	SORBI_3001G164800;SORBI_3001G165000;SORBI_3001G165100;SORBI_3001G165200;SORBI_3001G165301;SORBI_3001G165401
MF	Class sums and ratios	LIN	Cer	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	3	367	2	8.68	0.0196	0.0356	SORBI_3001G164100;SORBI_3001G164200;SORBI_3008G078800
MF	Class sums and ratios	LIN	Cer	iron ion binding	GO:0005506	3	433	2	7.36	0.0265	0.041	SORBI_3001G164100;SORBI_3001G164200;SORBI_3008G078800
MF	Class sums and ratios	LIN	DG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	131.04	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	DG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	53.39	0.000204	0.000258	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	DG	transcription coregulator activity	GO:0003712	2	57	2	16.86	0.0239	0.0143	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	DG	iron ion binding	GO:0005506	5	433	1	5.55	0.00906	0.0143	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	DG	copper ion binding	GO:0005507	2	68	1	14.13	0.0291	0.0294	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	DGDG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	131.04	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	DGDG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	53.39	0.000204	0.000258	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	DGDG	iron ion binding	GO:0005506	5	433	1	5.55	0.00906	0.0143	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	DGDG	transcription coregulator activity	GO:0003712	2	57	2	16.86	0.0239	0.0155	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	DGDG	copper ion binding	GO:0005507	2	68	1	14.13	0.0291	0.0447	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	FA	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	24.14	0.00155	0.00396	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	FA	transmembrane transporter activity	GO:0022857	12	402	4	2.64	0.00971	0.00553	SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G185800;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900
MF	Class sums and ratios	LIN	FA	helicase activity	GO:0004386	5	59	2	7.5	0.00343	0.006	SORBI_3001G028100;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G195500
