Analysis	source	term_id	term_name	FDR	Fold_Enrichment	query	significant	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	source_order	parents	evidence_codes	intersection
CTL_individual__20pct__recurrent	GO:BP	GO:0006906	vesicle fusion	0.11752916132264549	6.65410199556541	query_1	TRUE	0.11752916132264549	66	123	3	0.024390243902439025	0.045454545454545456	18006	2426		IBA,IBA,IBA	SORBI_3002G043300,SORBI_3006G046700,SORBI_3006G050000
CTL_individual__20pct__recurrent	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	0.1179853634268214	2.2272374590965827	query_1	TRUE	0.1179853634268214	723	123	11	0.08943089430894309	0.015214384508990318	18006	4065		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0006446	regulation of translational initiation	0.12587520012454487	12.199186991869919	query_1	TRUE	0.12587520012454487	24	123	2	0.016260162601626018	0.08333333333333333	18006	2088		IEA,IEA	SORBI_3002G044000,SORBI_3006G044600
CTL_individual__20pct__recurrent	GO:BP	GO:0006450	regulation of translational fidelity	0.12686491942095307	11.711219512195123	query_1	TRUE	0.12686491942095307	25	123	2	0.016260162601626018	0.08	18006	2092		IEA,IEA	SORBI_3002G042500,SORBI_3006G049900
CTL_individual__20pct__recurrent	GO:BP	GO:0006520	amino acid metabolic process	0.12686491942095307	2.7921844886023788	query_1	TRUE	0.12686491942095307	367	123	7	0.056910569105691054	0.01907356948228883	18006	2131		IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA,IBA IEA	SORBI_3001G357300,SORBI_3002G041100,SORBI_3002G041200,SORBI_3002G042500,SORBI_3005G152200,SORBI_3008G062200,SORBI_3008G062500
CTL_individual__20pct__recurrent	GO:BP	GO:0170039	proteinogenic amino acid metabolic process	0.12686491942095307	3.6056710320797785	query_1	TRUE	0.12686491942095307	203	123	5	0.04065040650406504	0.024630541871921183	18006	19048		IEA,IBA,IBA,IBA,IBA IEA	SORBI_3001G357300,SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200,SORBI_3008G062500
CTL_individual__20pct__recurrent	GO:BP	GO:1901654	response to ketone	0.12686491942095307	73.19512195121952	query_1	TRUE	0.12686491942095307	2	123	1	0.008130081300813009	0.5	18006	20211		IEA	SORBI_3002G042400
CTL_individual__20pct__recurrent	GO:BP	GO:0060255	regulation of macromolecule metabolic process	0.12686491942095307	1.47310937260316	query_1	TRUE	0.12686491942095307	3180	123	32	0.2601626016260163	0.010062893081761006	18006	13487		IEA,IBA,IEA,IBA,IBA,IBA,IBA IEA,IEA,IBA,IBA,IBA,IBA,IEA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IEA,IEA,IEA,IBA,IBA IEA,IBA IEA,IBA IEA,IBA,IEA,IBA,IBA,IEA	SORBI_3001G222300,SORBI_3001G254200,SORBI_3001G356300,SORBI_3001G356500,SORBI_3001G356600,SORBI_3002G039600,SORBI_3002G043000,SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G042900,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G047200,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3006G080300,SORBI_3006G278600,SORBI_3006G279400,SORBI_3007G071000,SORBI_3007G071200,SORBI_3007G090412,SORBI_3007G090421,SORBI_3008G131400,SORBI_3008G132600,SORBI_3009G092100,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G111200
CTL_individual__20pct__recurrent	GO:BP	GO:0015886	heme transport	0.12686491942095307	73.19512195121952	query_1	TRUE	0.12686491942095307	2	123	1	0.008130081300813009	0.5	18006	4753		IEA	SORBI_3008G096300
CTL_individual__20pct__recurrent	GO:BP	GO:0009893	positive regulation of metabolic process	0.12686491942095307	2.173134524867516	query_1	TRUE	0.12686491942095307	741	123	11	0.08943089430894309	0.014844804318488529	18006	3592		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0090174	organelle membrane fusion	0.12686491942095307	6.18550326348334	query_1	TRUE	0.12686491942095307	71	123	3	0.024390243902439025	0.04225352112676056	18006	16881		IBA,IBA,IBA	SORBI_3002G043300,SORBI_3006G046700,SORBI_3006G050000
CTL_individual__20pct__recurrent	GO:BP	GO:0016050	vesicle organization	0.12686491942095307	4.369858026938479	query_1	TRUE	0.12686491942095307	134	123	4	0.032520325203252036	0.029850746268656716	18006	4840		IBA,IBA,IBA,IBA	SORBI_3002G043300,SORBI_3005G114800,SORBI_3006G046700,SORBI_3006G050000
CTL_individual__20pct__recurrent	GO:BP	GO:0009059	macromolecule biosynthetic process	0.1306349244500744	1.3366318419039689	query_1	TRUE	0.1306349244500744	5038	123	46	0.37398373983739835	0.009130607383882492	18006	3095		IEA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA IEA,IBA IEA,IBA IEA,IEA,IBA,IBA,IBA,IBA,IEA,IBA,IBA IEA,IBA,IEA,IBA,IBA,IBA,IBA IEA,IBA,IEA,IEA,IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IEA,IEA,IBA IEA,IBA,IBA IEA,IBA IEA,IBA,IEA,IBA,IBA,IEA	SORBI_3001G222700,SORBI_3001G225700,SORBI_3001G259000,SORBI_3001G355000,SORBI_3001G356300,SORBI_3001G356500,SORBI_3001G356600,SORBI_3001G357200,SORBI_3002G039600,SORBI_3002G042500,SORBI_3002G043000,SORBI_3002G044000,SORBI_3002G148166,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G042900,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G047200,SORBI_3006G047400,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3006G049900,SORBI_3006G080300,SORBI_3006G278600,SORBI_3006G279400,SORBI_3007G071000,SORBI_3007G071200,SORBI_3007G071300,SORBI_3007G071400,SORBI_3007G090412,SORBI_3007G090421,SORBI_3007G101500,SORBI_3007G110500,SORBI_3008G095500,SORBI_3008G096300,SORBI_3008G131400,SORBI_3008G131800,SORBI_3008G132600,SORBI_3009G092100,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G111200
