condition	LayerGroup	GeneID	Recurrence
CTL	combined	SORBI_3008G081400	7
CTL	combined	SORBI_3008G096000	7
CTL	combined	SORBI_3001G220066	6
CTL	combined	SORBI_3001G220300	6
CTL	combined	SORBI_3001G220900	6
CTL	combined	SORBI_3001G221300	6
CTL	combined	SORBI_3001G221350	6
CTL	combined	SORBI_3001G221400	6
CTL	combined	SORBI_3001G221500	6
CTL	combined	SORBI_3001G221601	6
CTL	combined	SORBI_3001G221700	6
CTL	combined	SORBI_3001G221750	6
CTL	combined	SORBI_3001G221850	6
CTL	combined	SORBI_3001G221900	6
CTL	combined	SORBI_3001G266100	6
CTL	combined	SORBI_3001G266200	6
CTL	combined	SORBI_3002G332750	6
CTL	combined	SORBI_3006G277100	6
CTL	combined	SORBI_3006G279600	6
CTL	combined	SORBI_3006G279700	6
CTL	combined	SORBI_3007G090400	6
CTL	combined	SORBI_3007G103400	6
CTL	combined	SORBI_3007G110333	6
CTL	combined	SORBI_3007G114000	6
CTL	combined	SORBI_3008G094400	6
CTL	combined	SORBI_3010G142650	6
CTL	combined	SORBI_3001G266400	5
CTL	combined	SORBI_3001G266500	5
CTL	combined	SORBI_3001G266700	5
CTL	combined	SORBI_3001G267000	5
CTL	combined	SORBI_3005G115200	5
CTL	combined	SORBI_3006G040700	5
CTL	combined	SORBI_3006G040800	5
CTL	combined	SORBI_3006G279000	5
CTL	combined	SORBI_3007G090537	5
CTL	combined	SORBI_3007G090600	5
CTL	combined	SORBI_3007G090701	5
CTL	combined	SORBI_3007G114401	5
CTL	combined	SORBI_3008G094500	5
CTL	combined	SORBI_3008G094600	5
CTL	combined	SORBI_3010G143700	5
CTL	combined	SORBI_3010G143800	5
CTL	combined	SORBI_3010G253250	5
CTL	combined	SORBI_3001G223000	4
CTL	combined	SORBI_3001G259200	4
CTL	combined	SORBI_3001G259250	4
CTL	combined	SORBI_3001G259700	4
CTL	combined	SORBI_3001G259850	4
CTL	combined	SORBI_3001G305900	4
CTL	combined	SORBI_3001G306400	4
CTL	combined	SORBI_3001G306500	4
CTL	combined	SORBI_3001G320101	4
CTL	combined	SORBI_3002G079500	4
CTL	combined	SORBI_3002G364301	4
CTL	combined	SORBI_3003G368100	4
CTL	combined	SORBI_3003G368200	4
CTL	combined	SORBI_3003G368300	4
CTL	combined	SORBI_3003G369066	4
CTL	combined	SORBI_3003G389800	4
CTL	combined	SORBI_3005G098100	4
CTL	combined	SORBI_3005G098250	4
CTL	combined	SORBI_3005G098900	4
CTL	combined	SORBI_3005G146300	4
CTL	combined	SORBI_3005G146533	4
CTL	combined	SORBI_3005G146800	4
CTL	combined	SORBI_3005G146900	4
CTL	combined	SORBI_3006G036300	4
CTL	combined	SORBI_3006G036400	4
CTL	combined	SORBI_3006G040301	4
CTL	combined	SORBI_3006G044400	4
CTL	combined	SORBI_3006G280000	4
CTL	combined	SORBI_3007G096900	4
CTL	combined	SORBI_3007G097000	4
CTL	combined	SORBI_3007G103600	4
CTL	combined	SORBI_3007G113900	4
CTL	combined	SORBI_3008G089700	4
CTL	combined	SORBI_3008G094650	4
CTL	combined	SORBI_3008G094800	4
CTL	combined	SORBI_3008G105366	4
CTL	combined	SORBI_3009G091300	4
CTL	combined	SORBI_3010G142501	4
CTL	combined	SORBI_3010G142600	4
CTL	combined	SORBI_3001G126000	3
CTL	combined	SORBI_3001G126400	3
CTL	combined	SORBI_3001G127300	3
CTL	combined	SORBI_3001G167900	3
CTL	combined	SORBI_3001G168400	3
CTL	combined	SORBI_3001G168600	3
CTL	combined	SORBI_3001G168700	3
CTL	combined	SORBI_3001G168800	3
CTL	combined	SORBI_3001G169100	3
CTL	combined	SORBI_3001G171001	3
CTL	combined	SORBI_3001G171100	3
CTL	combined	SORBI_3001G171200	3
CTL	combined	SORBI_3001G171300	3
CTL	combined	SORBI_3001G171500	3
CTL	combined	SORBI_3001G171600	3
CTL	combined	SORBI_3001G354900	3
CTL	combined	SORBI_3001G357700	3
CTL	combined	SORBI_3001G457600	3
CTL	combined	SORBI_3001G522600	3
CTL	combined	SORBI_3002G142600	3
CTL	combined	SORBI_3003G355500	3
CTL	combined	SORBI_3003G355600	3
CTL	combined	SORBI_3003G355800	3
CTL	combined	SORBI_3003G356200	3
CTL	combined	SORBI_3003G356900	3
CTL	combined	SORBI_3003G357000	3
CTL	combined	SORBI_3003G357100	3
