Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
LIN	SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350	poly(A)-specific ribonuclease activity	SQDG	1	MF	Individual lipid species	1	3	12	1	13.5	13.5	0.031	poly(A)-specific ribonuclease activity
LIN	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G127200;SORBI_3010G127300	negative regulation of response to salt stress	SQDG	1	BP	Individual lipid species	1	4	20	2	11.1	11.1	0.0065	negative regulation of response to salt stress
LIN	SORBI_3010G143900;SORBI_3010G144400;SORBI_3010G152300;SORBI_3010G152400	pentosyltransferase activity	SQDG	1	MF	Individual lipid species	1	4	21	2	10.3	10.3	0.016	pentosyltransferase activity
LIN	SORBI_3001G526300;SORBI_3003G388000;SORBI_3009G104900	anaphase-promoting complex-dependent catabolic process	PC	1	BP	Individual lipid species	1	3	5	3	9.4	9.4	0.0068	anaphase-promoting complex-dependent catabolic process
LIN	SORBI_3002G230100;SORBI_3003G234200;SORBI_3003G234500	carbon utilization	PC	1	BP	Individual lipid species	1	3	5	2	9.4	9.4	0.026	carbon utilization
LIN	SORBI_3002G101300;SORBI_3006G243400;SORBI_3007G038800;SORBI_3010G214100	phosphoglycerate dehydrogenase activity	PC	1	MF	Individual lipid species	1	4	7	4	9.3	9.3	0.014	phosphoglycerate dehydrogenase activity
LIN	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100	detection of stimulus	FA	1	BP	Class sums and ratios; Individual lipid species	2	3	10	1	8.4	8.6	0.017	detection of stimulus
LIN	SORBI_3001G100800;SORBI_3001G101100;SORBI_3003G169600	nucleotide transport	PC	1	BP	Individual lipid species	1	3	6	2	7.9	7.9	0.021	nucleotide transport
LIN	SORBI_3001G012000;SORBI_3002G227200;SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900	iron ion binding	PA	1	MF	Class sums and ratios	1	5	264	4	7.1	7.1	0.011	iron ion binding
LIN	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300	cell surface receptor protein serine/threonine kinase signaling pathway and defense response to oomycetes	SQDG	1	BP/MF	Individual lipid species	2	5	45	2	6	6.2	0.0068	cell surface receptor protein serine/threonine kinase signaling pathway; defense response to oomycetes | transmembrane receptor protein serine/threonine kinase activity
LIN	SORBI_3010G126100;SORBI_3010G126700;SORBI_3010G127600;SORBI_3010G128000;SORBI_3010G128800;SORBI_3010G129100	aspartic-type endopeptidase activity	SQDG	1	MF	Individual lipid species	1	6	53	5	6.1	6.1	0.014	aspartic-type endopeptidase activity
LIN	SORBI_3001G030500;SORBI_3001G030600;SORBI_3002G085400;SORBI_3002G085700;SORBI_3002G085800;SORBI_3004G191000	quercetin 7-O-glucosyltransferase activity and 3-O-glucosyltransferase activity	TG	1	MF	Individual lipid species	1	6	26	3	5.6	5.6	0.016	quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity
LIN	SORBI_3001G041700;SORBI_3003G406800;SORBI_3004G009600;SORBI_3006G194400	positive regulation of transcription by RNA polymerase II	SQDG	1	BP	Class sums and ratios	1	4	66	4	5.6	5.6	0.011	positive regulation of transcription by RNA polymerase II
LIN	SORBI_3001G028100;SORBI_3001G028200;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G195500	helicase activity	SQDG	1	MF	Class sums and ratios	1	6	104	3	5.3	5.3	0.005	helicase activity
LIN	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050	positive regulation of cytoplasmic translation	SQDG	1	BP/MF	Individual lipid species	2	12	126	12	5.1	5.3	0.03	positive regulation of cytoplasmic translation | single-stranded RNA binding; translation regulator activity
LIN	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G169100;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	transmembrane transporter activity	SQDG	1	MF	Class sums and ratios	1	11	296	6	3.4	3.4	0.005	transmembrane transporter activity
LIN	SORBI_3001G166800;SORBI_3001G211500;SORBI_3001G526300;SORBI_3002G230900;SORBI_3003G373100;SORBI_3003G375200;SORBI_3003G388000;SORBI_3004G183900;SORBI_3008G104000;SORBI_3009G087300;SORBI_3009G104900;SORBI_3009G184200	cell division	PC	1	BP	Individual lipid species	1	12	68	11	2.8	2.8	0.0057	cell division
LIN	SORBI_3003G033400;SORBI_3008G091300;SORBI_3010G113150;SORBI_3010G123750;SORBI_3010G127550;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G145800;SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350;SORBI_3010G152250;SORBI_3010G153300;SORBI_3010G161050	nucleic acid binding	SQDG	1	MF	Individual lipid species	1	22	522	20	2.3	2.3	0.015	nucleic acid binding
LIN	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G169100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3008G081400;SORBI_3008G081500	transmembrane transporter activity	FA	1	MF	Class sums and ratios; Individual lipid species	2	22	296	15	2.2	2.2	0.005	transmembrane transporter activity
LIN	SORBI_3003G033100;SORBI_3010G113150;SORBI_3010G116600;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G138200;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G143500;SORBI_3010G144050;SORBI_3010G145800;SORBI_3010G150575;SORBI_3010G152250;SORBI_3010G161050	mRNA binding	SQDG	1	MF	Individual lipid species	1	18	432	18	2.2	2.2	0.02	mRNA binding
LIN	SORBI_3001G012600;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G223100;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G311200;SORBI_3003G185100;SORBI_3004G260500;SORBI_3004G311000;SORBI_3006G244000;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G083300;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G175900	transmembrane transporter activity	TG	1	MF	Individual lipid species	1	23	296	20	1.9	1.9	0.015	transmembrane transporter activity
LIN	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G169100;SORBI_3001G403700;SORBI_3001G512300;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G219300;SORBI_3007G162400;SORBI_3008G081400;SORBI_3008G081500;SORBI_3010G151000	transmembrane transport	FA	1	BP	Class sums and ratios	1	31	526	22	1.7	1.7	0.011	transmembrane transport
LIN	SORBI_3003G033500;SORBI_3010G108500;SORBI_3010G113150;SORBI_3010G116000;SORBI_3010G118000;SORBI_3010G120500;SORBI_3010G123500;SORBI_3010G123750;SORBI_3010G125500;SORBI_3010G127550;SORBI_3010G130100;SORBI_3010G131900;SORBI_3010G133275;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G141700;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G146800;SORBI_3010G151200;SORBI_3010G151325;SORBI_3010G152250;SORBI_3010G153600;SORBI_3010G156800;SORBI_3010G157300;SORBI_3010G158400;SORBI_3010G161050	zinc ion binding	SQDG	1	MF	Individual lipid species	1	32	1015	29	1.7	1.7	0.016	zinc ion binding
