Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Individual lipid species	LIN	PC	sterol metabolic process	GO:0016125	5	10	1	12.44	0.00332	0.0301	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600
BP	Individual lipid species	LIN	PC	DNA synthesis involved in DNA repair	GO:0000731	2	4	2	12.44	0.09	0.0355	SORBI_3003G369200;SORBI_3007G182700
BP	Individual lipid species	LIN	PC	sterol biosynthetic process	GO:0016126	5	14	1	8.89	0.00618	0.0355	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600
BP	Individual lipid species	LIN	PC	anaphase-promoting complex-dependent catabolic process	GO:0031145	3	13	3	5.74	0.106	0.0373	SORBI_3001G526300;SORBI_3003G388000;SORBI_3009G104900
BP	Individual lipid species	LIN	PC	mitophagy	GO:0000423	3	15	3	4.98	0.113	0.0399	SORBI_3001G192000;SORBI_3001G436900;SORBI_3002G159200
BP	Individual lipid species	LIN	PC	carbon utilization	GO:0015976	3	5	2	14.93	0.017	0.0405	SORBI_3002G230100;SORBI_3003G234200;SORBI_3003G234500
BP	Individual lipid species	LIN	PC	regulation of double-strand break repair	GO:2000779	2	4	2	12.44	0.09	0.0405	SORBI_3001G338800;SORBI_3003G408800
BP	Individual lipid species	LIN	PC	cytokinesis by cell plate formation	GO:0000911	2	5	2	9.95	0.106	0.0405	SORBI_3003G412300;SORBI_3009G042800
BP	Individual lipid species	LIN	PC	L-serine biosynthetic process	GO:0006564	2	5	2	9.95	0.106	0.0405	SORBI_3006G243400;SORBI_3010G214100
BP	Individual lipid species	LIN	PC	response to UV-B	GO:0010224	2	5	2	9.95	0.106	0.0405	SORBI_3001G383000;SORBI_3004G103700
BP	Individual lipid species	LIN	PC	mitotic DNA replication initiation	GO:1902975	2	5	2	9.95	0.106	0.0405	SORBI_3003G369200;SORBI_3009G172950
BP	Individual lipid species	LIN	PC	DNA replication checkpoint signaling	GO:0000076	2	6	2	8.29	0.113	0.0405	SORBI_3001G210000;SORBI_3009G237400
BP	Individual lipid species	LIN	PC	double-strand break repair via break-induced replication	GO:0000727	3	15	3	4.98	0.113	0.0405	SORBI_3009G038800;SORBI_3009G087000;SORBI_3009G172950
BP	Individual lipid species	LIN	PC	post-transcriptional regulation of gene expression	GO:0010608	3	15	3	4.98	0.113	0.0405	SORBI_3008G098700;SORBI_3008G100300;SORBI_3009G010300
BP	Individual lipid species	LIN	PC	brassinosteroid mediated signaling pathway	GO:0009742	4	32	3	3.11	0.147	0.0405	SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G104800;SORBI_3004G252200
BP	Individual lipid species	LIN	PC	regulation of DNA-templated transcription	GO:0006355	50	1464	38	0.85	0.935	0.0405	SORBI_3001G102300;SORBI_3001G127800;SORBI_3001G166700;SORBI_3001G286700;SORBI_3001G290400;SORBI_3001G528200;SORBI_3001G531100;SORBI_3002G114200;SORBI_3002G116600;SORBI_3002G121600;SORBI_3002G251700;SORBI_3002G253000;SORBI_3003G044900;SORBI_3003G096300;SORBI_3003G105800;SORBI_3003G368300;SORBI_3003G373000;SORBI_3003G385100;SORBI_3003G412600;SORBI_3004G078800;SORBI_3004G102500;SORBI_3004G102700;SORBI_3004G184200;SORBI_3004G253300;SORBI_3006G118100;SORBI_3006G118150;SORBI_3006G118200;SORBI_3006G119400;SORBI_3006G120301;SORBI_3006G120400;SORBI_3007G180300;SORBI_3007G181500;SORBI_3007G183050;SORBI_3007G217700;SORBI_3008G071200;SORBI_3008G107500;SORBI_3009G083800;SORBI_3009G084500;SORBI_3009G084600;SORBI_3009G085100;SORBI_3009G086800;SORBI_3009G111200;SORBI_3009G153400;SORBI_3009G184300;SORBI_3009G238200;SORBI_3009G245500;SORBI_3009G250000;SORBI_3010G215100;SORBI_3010G221500;SORBI_3010G224200
BP	Individual lipid species	LIN	PC	chromosome organization	GO:0051276	2	6	2	8.29	0.113	0.0419	SORBI_3009G184200;SORBI_3009G251500
BP	Individual lipid species	LIN	PC	chromosome organization involved in meiotic cell cycle	GO:0070192	2	6	2	8.29	0.113	0.048	SORBI_3003G103701;SORBI_3008G101300
