"Phenotype","PhenotypeClean","N_SNPs","Min_P","Lambda","N_GenomeWide","N_Suggestive"
"Sum_PC_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta3_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta3_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,2.544104e-20,0.865580695768911,465,3789
"Sum_PC_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta8_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta8_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,3.459459e-20,0.884079007348692,410,3387
"Sum_AEG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta4_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta4_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,5.138056e-20,0.888826068375637,488,3673
"Sum_AEG_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta3_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta3_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,6.800388e-20,0.891241207742452,314,2960
"Sum_PC_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta9_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta9_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,6.870141e-20,0.876492768687416,473,3609
"Sum_PC_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta8_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta8_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,5.332787e-19,0.889122025191272,290,2474
"Sum_PC_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta2_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta2_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,6.262214e-18,0.876861032274962,331,3010
"Sum_AEG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta6_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta6_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,1.226131e-17,0.903027707436177,295,2839
"Sum_MG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta9_SAP_bialleles_MAF_0.05_3.assoc.txt","Sum_MG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part07_parta9_SAP_bialleles_MAF_0_05_3_assoc_txt",6106358,1.822181e-17,0.473460405625029,1398,7977
"Sum_SQDG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta10_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_SQDG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta10_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,2.212591e-17,0.500441479542732,1618,7282
