Ontology	Layer	Condition	Class	Term	N_terms	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Merged_terms	Overlap_genes
MF	Class sums and ratios	LIN	FA	transmembrane transporter activity	1	GO:0022857	22	296	15	2.2	0.015	0.005	transmembrane transporter activity	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G169100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3008G081400;SORBI_3008G081500
MF	Individual lipid species	CTL	PC	aspartic-type endopeptidase activity	1	GO:0004190	3	53	2	21.3	0.012	0.014	aspartic-type endopeptidase activity	SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600
MF	Individual lipid species	CTL	TG	nicotianamine aminotransferase activity and L-tyrosine-2-oxoglutarate transaminase activity	2	GO:0004838;GO:0033855	3	5	2	18.2	0.012	0.014	L-tyrosine-2-oxoglutarate transaminase activity; nicotianamine aminotransferase activity	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200
MF	Individual lipid species	CTL	PA	lactoperoxidase activity and peroxidase activity	2	GO:0004601;GO:0140825	3	94	2	17.7	0.014	0.016	lactoperoxidase activity; peroxidase activity	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
MF	Individual lipid species	CTL	PC	peptidase activity	1	GO:0008233	4	227	3	6.6	0.037	0.014	peptidase activity	SORBI_3008G098300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400
MF	Individual lipid species	CTL	TG	transaminase activity	1	GO:0008483	5	32	4	4.7	0.046	0.014	transaminase activity	SORBI_3001G260701;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G016900
MF	Individual lipid species	CTL	TG	pyridoxal phosphate binding	1	GO:0030170	7	59	6	3.6	0.04	0.014	pyridoxal phosphate binding	SORBI_3001G260701;SORBI_3001G357300;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G005300;SORBI_3010G198000
MF	Individual lipid species	CTL	TG	mRNA binding	1	GO:0003729	32	432	23	2.2	0.001	0.014	mRNA binding	SORBI_3001G021800;SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G024000;SORBI_3001G221850;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3003G206600;SORBI_3004G104000;SORBI_3004G104250;SORBI_3004G104600;SORBI_3004G206500;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G208800;SORBI_3006G278600;SORBI_3007G071200;SORBI_3007G071400;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G088887;SORBI_3008G094500;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750;SORBI_3010G143500;SORBI_3010G150575
MF	Individual lipid species	CTL	TG	transmembrane transporter activity	1	GO:0022857	20	296	14	2	0.027	0.014	transmembrane transporter activity	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3002G245300;SORBI_3002G245400;SORBI_3002G322800;SORBI_3003G389800;SORBI_3006G130700;SORBI_3006G277100;SORBI_3006G279700;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3009G049900;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900
MF	Individual lipid species	CTL	TG	nucleic acid binding	1	GO:0003676	31	522	25	1.8	0.021	0.016	nucleic acid binding	SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G126400;SORBI_3001G221850;SORBI_3001G222900;SORBI_3001G224200;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3004G140600;SORBI_3004G206200;SORBI_3004G206500;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G139100;SORBI_3006G209700;SORBI_3007G071200;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G063300;SORBI_3008G088887;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095560;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
MF	Individual lipid species	LIN	SQDG	ketoreductase activity	1	GO:0045703	3	5	2	32.3	0.0036	0.015	ketoreductase activity	SORBI_3010G124500;SORBI_3010G124600;SORBI_3010G124900
MF	Individual lipid species	LIN	TG	lipid transporter activity	1	GO:0005319	3	5	1	14.5	0.015	0.016	lipid transporter activity	SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400
MF	Individual lipid species	LIN	PC	steroid Delta-isomerase activity (+2 related terms)	3	GO:0000247;GO:0004769;GO:0047750	5	6	1	13.6	0.00053	0.016	C-8 sterol isomerase activity; cholestenol delta-isomerase activity; steroid Delta-isomerase activity	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600
MF	Individual lipid species	LIN	SQDG	poly(A)-specific ribonuclease activity	1	GO:0004535	3	12	1	13.5	0.021	0.031	poly(A)-specific ribonuclease activity	SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350
MF	Individual lipid species	LIN	FA	purine nucleoside transmembrane transporter activity and nucleobase transmembrane transporter activity	2	GO:0005345;GO:0015211	3	7	1	12.9	0.021	0.016	purine nucleobase transmembrane transporter activity; purine nucleoside transmembrane transporter activity	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
MF	Individual lipid species	LIN	SQDG	pentosyltransferase activity	1	GO:0016763	4	21	2	10.3	0.014	0.016	pentosyltransferase activity	SORBI_3010G143900;SORBI_3010G144400;SORBI_3010G152300;SORBI_3010G152400
