condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
CTL	PA	hydrogen peroxide catabolic process	GO:0042744	104	3	0.3931947069943289	7.6298076923076925	0.006901523173787919	0.041409139042727514	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
CTL	PE	transmembrane transport	GO:0055085	526	5	1.3050567107750473	3.8312511316313596	0.00805390802496639	0.04612692777935296	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
CTL	PA	response to oxidative stress	GO:0006979	118	3	0.44612476370510395	6.724576271186441	0.009761023528686758	0.05187592059456068	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
CTL	PC	transmembrane transport	GO:0055085	526	5	1.367202268431002	3.6571033529208434	0.009901278054104507	0.05187592059456068	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
LIN	SQDG	transmembrane transport	GO:0055085	526	12	5.655245746691872	2.121923703672753	0.010292841387809658	0.05187592059456068	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G169100;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3010G151000
LIN	DGDG	signal transduction	GO:0007165	205	4	0.896148393194707	4.463546473302571	0.01181341605979491	0.05724963167439072	SORBI_3003G088100;SORBI_3003G407300;SORBI_3004G005300;SORBI_3004G007800
CTL	PA	cellular oxidant detoxification	GO:0098869	131	3	0.4952741020793951	6.057251908396946	0.012953751134175621	0.0604508386261529	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
LIN	FA	nitrate transmembrane transport	GO:0015706	15	3	0.5334357277882797	5.623920265780731	0.0147450328188585	0.06610048237437373	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
LIN	SM	positive regulation of transcription by RNA polymerase II	GO:0045944	66	3	0.5224480151228733	5.742198100407056	0.015213603086165383	0.06610048237437373	SORBI_3001G041700;SORBI_3003G406800;SORBI_3006G194400
LIN	FA	regulation of intracellular signal transduction	GO:1902531	28	4	0.9957466918714556	4.017085904129093	0.016365124933896608	0.06750006257681858	SORBI_3001G025700;SORBI_3001G512600;SORBI_3004G096300;SORBI_3006G192200
CTL	PG	transmembrane transport	GO:0055085	526	5	1.5536389413988658	3.2182509505703423	0.01713537444669743	0.06750006257681858	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
LIN	FA	cellular response to phosphate starvation	GO:0016036	16	3	0.5689981096408318	5.2724252491694354	0.0176785878177382	0.06750006257681858	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
LIN	FA	xylan biosynthetic process	GO:0045492	16	3	0.5689981096408318	5.2724252491694354	0.0176785878177382	0.06750006257681858	SORBI_3001G038300;SORBI_3001G406700;SORBI_3004G047600
LIN	PS	transmembrane transport	GO:0055085	526	4	1.0564744801512287	3.786177588906285	0.0183465216556762	0.06799005084162356	SORBI_3001G012600;SORBI_3005G107400;SORBI_3005G107500;SORBI_3010G151000
LIN	Cer	regulation of DNA-templated transcription	GO:0006355	887	7	2.9343100189035916	2.3855693348365277	0.022450185516344565	0.07878929135852886	SORBI_3001G033200;SORBI_3001G034300;SORBI_3001G036800;SORBI_3001G037000;SORBI_3001G037500;SORBI_3004G115000;SORBI_3010G151325
LIN	DG	positive regulation of DNA-templated transcription	GO:0045893	90	3	0.6060964083175804	4.949707602339181	0.022511226102436815	0.07878929135852886	SORBI_3001G101700;SORBI_3003G406600;SORBI_3006G190800
CTL	DG	transmembrane transport	GO:0055085	526	4	1.180765595463138	3.387632579547729	0.02708597820154615	0.08323983544865403	SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
CTL	GalCer	transmembrane transport	GO:0055085	526	4	1.180765595463138	3.387632579547729	0.02708597820154615	0.08323983544865403	SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
CTL	MG	transmembrane transport	GO:0055085	526	4	1.180765595463138	3.387632579547729	0.02708597820154615	0.08323983544865403	SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
CTL	MGDG	transmembrane transport	GO:0055085	526	4	1.180765595463138	3.387632579547729	0.02708597820154615	0.08323983544865403	SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
CTL	SQDG	transmembrane transport	GO:0055085	526	4	1.180765595463138	3.387632579547729	0.02708597820154615	0.08323983544865403	SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
CTL	DGDG	transmembrane transport	GO:0055085	526	4	1.367202268431002	2.925682682336675	0.044163346595788903	0.12963543779271908	SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
LIN	Cer	translation	GO:0006412	241	3	0.7972589792060492	3.7628927089508	0.04424066527846762	0.12963543779271908	SORBI_3001G034200;SORBI_3001G039400;SORBI_3010G150575
LIN	MGDG	signal transduction	GO:0007165	205	3	0.8477079395085066	3.5389547038327525	0.051968093783569154	0.13940699051435032	SORBI_3003G407300;SORBI_3004G005300;SORBI_3004G007800
CTL	LPE	transmembrane transport	GO:0055085	526	3	0.8700378071833649	3.4481260184682236	0.05200102027122591	0.13940699051435032	SORBI_3005G088500;SORBI_3009G152800;SORBI_3010G151000
CTL	PS	transmembrane transport	GO:0055085	526	3	0.8700378071833649	3.4481260184682236	0.05200102027122591	0.13940699051435032	SORBI_3002G218700;SORBI_3009G152800;SORBI_3010G151000
CTL	SM	transmembrane transport	GO:0055085	526	3	0.8700378071833649	3.4481260184682236	0.05200102027122591	0.13940699051435032	SORBI_3002G218700;SORBI_3009G152800;SORBI_3010G151000
LIN	FA	signal transduction	GO:0007165	205	12	7.290288279773157	1.6460254436431407	0.06167985855160997	0.15968072743748243	SORBI_3001G034100;SORBI_3001G039500;SORBI_3003G088100;SORBI_3003G383100;SORBI_3003G407300;SORBI_3004G005300;SORBI_3004G007800;SORBI_3004G017900;SORBI_3004G066900;SORBI_3005G175500;SORBI_3010G213900;SORBI_3010G215300
CTL	Cer	transmembrane transport	GO:0055085	526	3	0.9321833648393195	3.218250950570342	0.06209806067013206	0.15968072743748243	SORBI_3002G218700;SORBI_3009G152800;SORBI_3010G151000
LIN	DG	regulation of transcription by RNA polymerase II	GO:0006357	227	4	1.528709829867675	2.6165855166550736	0.06606059496011998	0.1640550139346903	SORBI_3003G406800;SORBI_3003G407200;SORBI_3004G006600;SORBI_3006G194400
LIN	MGDG	regulation of transcription by RNA polymerase II	GO:0006357	227	3	0.9386814744801513	3.195972309628697	0.0664821448644189	0.1640550139346903	SORBI_3003G406800;SORBI_3003G407200;SORBI_3004G006600
LIN	MG	signal transduction	GO:0007165	205	3	0.9445888468809074	3.175984990619137	0.06770524384606266	0.1640550139346903	SORBI_3003G407300;SORBI_3004G005300;SORBI_3004G007800
LIN	FA	plant-type cell wall organization	GO:0009664	27	3	0.9601843100189036	3.1244001476559617	0.06945981300791712	0.16513087620750108	SORBI_3001G033300;SORBI_3004G007600;SORBI_3006G191700
LIN	SQDG	positive regulation of DNA-templated transcription	GO:0045893	90	3	0.9676275992438563	3.1003663003663005	0.07245801386697827	0.16729895285812074	SORBI_3001G101700;SORBI_3003G406600;SORBI_3006G190800
CTL	FA	transmembrane transport	GO:0055085	526	3	0.994328922495274	3.017110266159696	0.07302732069203684	0.16729895285812074	SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
LIN	DGDG	regulation of transcription by RNA polymerase II	GO:0006357	227	3	0.992320415879017	3.023217049648768	0.07595818736955443	0.17090592158149745	SORBI_3003G406800;SORBI_3003G407200;SORBI_3004G006600
LIN	FA	response to hormone	GO:0009725	29	3	1.0313090737240076	2.9089242754038263	0.0824502630061127	0.18225847611877546	SORBI_3003G382600;SORBI_3003G385100;SORBI_3004G181800
LIN	MG	regulation of transcription by RNA polymerase II	GO:0006357	227	3	1.0459593572778827	2.8681802778719083	0.08599285083982211	0.18681205527271702	SORBI_3003G406800;SORBI_3003G407200;SORBI_3004G006600
LIN	FA	DNA replication	GO:0006260	48	4	1.7069943289224954	2.343300110741971	0.09011998346770629	0.1924596257106948	SORBI_3001G211500;SORBI_3004G007133;SORBI_3006G195500;SORBI_3007G182700
