condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	FA	serine-type endopeptidase inhibitor activity	GO:0004867	35	3	1.1924219910846954	2.5158878504672897	0.11546280009983494	0.3150375737823311	SORBI_3001G032100;SORBI_3003G088400;SORBI_3003G356850
LIN	FA	translation initiation factor activity	GO:0003743	35	3	1.1924219910846954	2.5158878504672897	0.11546280009983494	0.3150375737823311	SORBI_3001G168900;SORBI_3004G020000;SORBI_3008G101600
LIN	FA	histone binding	GO:0042393	35	3	1.1924219910846954	2.5158878504672897	0.11546280009983494	0.3150375737823311	SORBI_3001G037000;SORBI_3002G263700;SORBI_3003G408800
LIN	AEG	heme binding	GO:0020037	335	3	1.2088728507747823	2.481650570676032	0.11893437220978409	0.3188274673628585	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500
CTL	DGDG	nucleic acid binding	GO:0003676	522	3	1.2188495011674805	2.461337513061651	0.11937722934114323	0.3188274673628585	SORBI_3002G371500;SORBI_3002G374200;SORBI_3010G136450
LIN	PE	oxidoreductase activity	GO:0016491	863	5	2.656230099766504	1.8823670435929196	0.1206549321371585	0.3188274673628585	SORBI_3003G088200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3004G006400;SORBI_3004G008900
LIN	MGDG	metal ion binding	GO:0046872	1938	11	7.610486096370197	1.445374166736396	0.12158746256645364	0.3188274673628585	SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3003G406600;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3005G105700;SORBI_3010G151200;SORBI_3010G151325
CTL	PA	metal ion binding	GO:0046872	1938	10	6.787730842708554	1.473246395847015	0.12304347483654468	0.3188274673628585	SORBI_3002G221400;SORBI_3002G374200;SORBI_3003G105900;SORBI_3003G367650;SORBI_3003G369200;SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500;SORBI_3010G151200;SORBI_3010G151325
CTL	DG	RNA binding	GO:0003723	615	3	1.2401825514752707	2.4189987163029523	0.12324250756254462	0.3188274673628585	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
CTL	MGDG	RNA binding	GO:0003723	615	3	1.2401825514752707	2.4189987163029523	0.12324250756254462	0.3188274673628585	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
CTL	SQDG	RNA binding	GO:0003723	615	3	1.2401825514752707	2.4189987163029523	0.12324250756254462	0.3188274673628585	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
LIN	PE	metal ion binding	GO:0046872	1938	9	5.964975589046912	1.5088075157467706	0.12381649217975087	0.3188274673628585	SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3010G151200;SORBI_3010G151325
LIN	SQDG	RNA binding	GO:0003723	615	10	6.65782211844619	1.5019926669854933	0.12811346662900483	0.32784315683944093	SORBI_3001G028100;SORBI_3001G028200;SORBI_3006G183800;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G192000;SORBI_3006G195500;SORBI_3010G150575;SORBI_3010G150700
LIN	FA	peptidase inhibitor activity	GO:0030414	37	3	1.2605603905752494	2.379893912604193	0.13061887354226112	0.332191209255627	SORBI_3001G032100;SORBI_3003G088400;SORBI_3003G356850
LIN	FA	phosphoprotein phosphatase activity	GO:0004721	79	5	2.691466779876884	1.8577230963366063	0.131589126231347	0.3326056442166562	SORBI_3001G025700;SORBI_3001G034100;SORBI_3001G512600;SORBI_3004G096300;SORBI_3006G192200
LIN	SQDG	metal ion binding	GO:0046872	1938	26	20.980258968371896	1.2392602035654303	0.1337170379036934	0.33592329034342494	SORBI_3001G012000;SORBI_3001G026900;SORBI_3001G028100;SORBI_3001G042200;SORBI_3001G042800;SORBI_3003G087200;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G089300;SORBI_3003G406600;SORBI_3004G005000;SORBI_3004G006400;SORBI_3004G006600;SORBI_3004G007500;SORBI_3005G105700;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G188700;SORBI_3006G190000;SORBI_3006G191900;SORBI_3006G192200;SORBI_3006G194300;SORBI_3006G194700;SORBI_3006G195500;SORBI_3010G151200;SORBI_3010G151325
LIN	SM	monooxygenase activity	GO:0004497	236	4	1.9787730842708555	2.021454623471358	0.13594238166661854	0.3394440075554354	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500;SORBI_3006G183900
CTL	GalCer	RNA binding	GO:0003723	615	3	1.3054553173423902	2.2980487804878047	0.13833521571413807	0.34128208906721486	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
CTL	MG	RNA binding	GO:0003723	615	3	1.3054553173423902	2.2980487804878047	0.13833521571413807	0.34128208906721486	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
LIN	SQDG	iron ion binding	GO:0005506	264	5	2.857991933772023	1.7494800950683302	0.15782852866661815	0.38705567744432545	SORBI_3001G012000;SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900;SORBI_3006G183900
LIN	FA	transcription coregulator activity	GO:0003712	41	3	1.3968371895563574	2.1477091406428084	0.16282364199786928	0.3969428432137405	SORBI_3001G037000;SORBI_3003G407200;SORBI_3004G006600
LIN	FA	hydrolase activity	GO:0016787	1170	46	39.8609637019741	1.154011236254227	0.16534152690248152	0.40071005343424937	SORBI_3001G025700;SORBI_3001G026800;SORBI_3001G026900;SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G034100;SORBI_3001G036300;SORBI_3001G038000;SORBI_3001G073500;SORBI_3001G099100;SORBI_3001G103900;SORBI_3001G105200;SORBI_3001G171500;SORBI_3001G269100;SORBI_3001G512600;SORBI_3002G186600;SORBI_3002G186800;SORBI_3002G189100;SORBI_3002G210700;SORBI_3002G264400;SORBI_3003G077400;SORBI_3003G087200;SORBI_3003G119900;SORBI_3003G389400;SORBI_3004G004800;SORBI_3004G007133;SORBI_3004G009600;SORBI_3004G010000;SORBI_3004G028500;SORBI_3004G028700;SORBI_3004G029400;SORBI_3004G096300;SORBI_3004G341800;SORBI_3006G190900;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G192200;SORBI_3006G195500;SORBI_3006G243200;SORBI_3007G158600;SORBI_3007G162200;SORBI_3007G179900;SORBI_3007G180450;SORBI_3010G034000;SORBI_3010G223900
CTL	DGDG	RNA binding	GO:0003723	615	3	1.4360008490766292	2.0891352549889137	0.1702136608024804	0.41010542836621006	SORBI_3002G371500;SORBI_3010G150575;SORBI_3010G150700
CTL	LPC	metal ion binding	GO:0046872	1938	4	2.262576947569518	1.767895675016418	0.17384353308780792	0.4140088764865715	SORBI_3002G374200;SORBI_3009G153400;SORBI_3010G151200;SORBI_3010G151325
