GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3001G021500,Cellulose synthase,2,2,7.25892e-12
SORBI_3001G021700,,2,2,2.39402e-14
SORBI_3001G021601,Uncharacterized protein,2,2,7.25892e-12
SORBI_3001G021800,WH1 domain-containing protein,2,2,3.492585e-15
SORBI_3010G135100,Uncharacterized protein,2,2,3.193903e-12
SORBI_3003G078000,,2,2,3.140747e-09
SORBI_3003G077500,Uncharacterized protein,2,2,3.140747e-09
SORBI_3003G077600,DNA damage-binding protein 2,2,2,3.140747e-09
SORBI_3003G077700,Protein root UVB sensitive 5,2,2,3.140747e-09
SORBI_3001G261750,Uncharacterized protein,2,2,3.164879e-10
SORBI_3001G022800,Actin,2,2,2.282694e-15
SORBI_3001G261900,RNA uridylyltransferase,2,2,3.164879e-10
SORBI_3001G262000,Uncharacterized protein,2,2,3.164879e-10
SORBI_3001G285800,Uncharacterized protein,2,2,7.420687e-10
SORBI_3001G295500,Uncharacterized protein,2,2,1.165916e-12
SORBI_3001G295600,Uncharacterized protein,2,2,1.165916e-12
SORBI_3010G142132,Uncharacterized protein,2,2,1.991446e-10
SORBI_3010G141966,Uncharacterized protein,2,2,2.042273e-10
SORBI_3010G141800,Ubiquitin-like protease family profile domain-containing protein,2,2,2.042273e-10
SORBI_3010G141700,Protein FAR1-RELATED SEQUENCE,2,2,2.042273e-10
SORBI_3010G141600,"Formate dehydrogenase, mitochondrial",2,2,1.479959e-10
SORBI_3010G141500,Ubiquitin-like protease family profile domain-containing protein,2,2,1.479959e-10
SORBI_3010G141433,Uncharacterized protein,2,2,5.401947e-11
SORBI_3001G261700,LOB domain-containing protein,2,2,3.164879e-10
SORBI_3001G260850,Uncharacterized protein,2,2,2.490756e-12
SORBI_3001G195932,,2,2,1.330661e-09
SORBI_3003G069950,Protein kinase domain-containing protein,2,2,3.624862e-11
SORBI_3001G263900,,2,2,2.500389e-10
SORBI_3001G021200,Uncharacterized protein,2,2,7.25892e-12
SORBI_3003G185300,Dynein light chain,2,2,1.531726e-09
SORBI_3004G259101,Rho GDP-dissociation inhibitor 1,2,2,4.644674e-10
SORBI_3005G088700,Pectinesterase inhibitor domain-containing protein,2,2,1.000254e-10
SORBI_3005G088600,Transmembrane protein,2,2,1.000254e-10
SORBI_3005G088500,WAT1-related protein,2,2,1.000254e-10
SORBI_3005G088100,Uncharacterized protein,2,2,1.000254e-10
SORBI_3005G087900,Non-lysosomal glucosylceramidase,2,2,1.000254e-10
SORBI_3005G054700,,2,2,1.986563e-09
SORBI_3008G103066,,2,2,7.446227e-11
SORBI_3004G140300,,2,2,4.396448e-10
SORBI_3008G103800,Uncharacterized protein,2,2,1.502745e-11
SORBI_3008G103900,RRM domain-containing protein,2,2,1.502745e-11
SORBI_3008G104100,Uncharacterized protein,2,2,7.929619e-10
SORBI_3008G105000,BTB domain-containing protein,2,2,2.843692e-09
SORBI_3004G140600,Exonuclease domain-containing protein,2,2,4.396448e-10
SORBI_3004G140501,BED-type domain-containing protein,2,2,4.396448e-10
SORBI_3005G088900,CCR4-NOT transcription complex subunit 11,2,2,1.000254e-10
SORBI_3005G125400,S-type anion channel SLAH3,2,2,2.08943e-12
SORBI_3005G182701,,2,2,1.485947e-09
SORBI_3005G182900,,2,2,1.466659e-11
SORBI_3005G183100,Sulfotransferase,2,2,1.466659e-11
SORBI_3005G183200,14-3-3 domain-containing protein,2,2,1.466659e-11
SORBI_3005G183300,,2,2,1.456216e-13
SORBI_3008G048933,Uncharacterized protein,2,2,2.114556e-16
SORBI_3008G005800,Trichome birefringence-like N-terminal domain-containing protein,2,2,5.915794e-11
SORBI_3008G005700,Uncharacterized protein,2,2,5.915794e-11
SORBI_3008G005100,Trichome birefringence-like N-terminal domain-containing protein,2,2,5.915794e-11
SORBI_3008G004900,Uncharacterized protein,2,2,5.915794e-11
SORBI_3008G004800,Ferritin,2,2,5.915794e-11
SORBI_3008G004600,E1 ubiquitin-activating enzyme,2,2,5.915794e-11
SORBI_3005G223925,,2,2,2.117281e-10
SORBI_3005G224300,,2,2,2.117281e-10
SORBI_3005G225200,DUF1618 domain-containing protein,2,2,7.378797e-10
SORBI_3004G140400,DNA2_NAM7 helicase-like C-terminal domain-containing protein,2,2,4.396448e-10
SORBI_3004G104400,FAD-binding PCMH-type domain-containing protein,2,2,8.011247e-10
SORBI_3003G185500,Uncharacterized protein,2,2,1.531726e-09
SORBI_3010G127300,Protein kinase domain-containing protein,2,2,9.595744e-11
SORBI_3010G125100,Ribosomal protein L46 N-terminal domain-containing protein,2,2,5.991652e-11
SORBI_3010G125200,Serine_threonine-protein phosphatase 4 regulatory subunit 2,2,2,5.991652e-11
SORBI_3010G125300,NB-ARC domain-containing protein,2,2,5.991652e-11
SORBI_3003G266100,Symplekin C-terminal domain-containing protein,2,2,3.368183e-09
SORBI_3003G252200,,2,2,6.551256e-11
SORBI_3003G186200,RWP-RK domain-containing protein,2,2,1.531726e-09
SORBI_3010G127550,CCHC-type domain-containing protein,2,2,9.595744e-11
SORBI_3004G104300,,2,2,8.011247e-10
SORBI_3010G127600,Peptidase A1 domain-containing protein,2,2,9.595744e-11
SORBI_3010G131900,RING-type E3 ubiquitin transferase,2,2,3.071507e-10
SORBI_3003G186000,RAVE complex protein Rav1 C-terminal domain-containing protein,2,2,1.531726e-09
SORBI_3003G185900,,2,2,1.531726e-09
SORBI_3003G185800,,2,2,1.531726e-09
SORBI_3003G185600,Aspartate racemase,2,2,1.531726e-09
