GeneID	GeneName	conditions	layers	best_p	max_r2	max_nphen
SORBI_3006G209600	No apical meristem-associated C-terminal domain-containing protein	CTL	individual	5.298874e-11	0.933807	7
SORBI_3006G209700	CCHC-type domain-containing protein	CTL	individual	5.298874e-11	0.92165	7
SORBI_3006G209850	PHD-type domain-containing protein	CTL	individual	5.298874e-11	1.0	7
SORBI_3006G210000	Uncharacterized protein	CTL	individual	5.298874e-11	0.943775	7
SORBI_3006G210200	Uncharacterized protein	CTL	individual	5.298874e-11	0.886654	7
SORBI_3006G210233	Uncharacterized protein	CTL	individual	5.298874e-11	0.454173	7
SORBI_3006G210400	Methionine aminopeptidase	CTL	individual	5.298874e-11	0.53013	7
SORBI_3006G210500	Uncharacterized protein	CTL	individual	5.298874e-11	0.49306	7
SORBI_3006G211500		CTL	individual	5.298874e-11	0.435301	7
SORBI_3007G103000	Carbohydrate kinase FGGY N-terminal domain-containing protein	CTL	individual	5.972523e-11	0.642031	7
SORBI_3007G103100	Mediator of RNA polymerase II transcription subunit 14	CTL	individual	5.972523e-11	0.640707	7
SORBI_3007G103300	Aminotransferase-like plant mobile domain-containing protein	CTL	individual	5.972523e-11	0.589125	7
SORBI_3006G276300		CTL	individual	2.544716e-10	0.754075	7
SORBI_3006G032400		CTL	individual	3.08086e-10	0.708156	7
SORBI_3006G032500		CTL	individual	3.08086e-10	0.702371	7
SORBI_3006G032600		CTL	individual	3.08086e-10	0.929097	7
SORBI_3006G032700	Rhodanese domain-containing protein	CTL	individual	3.08086e-10	0.954697	7
SORBI_3006G032800		CTL	individual	3.08086e-10	0.960055	7
SORBI_3006G032900	Endonuclease_exonuclease_phosphatase domain-containing protein	CTL	individual	3.08086e-10	0.630993	7
SORBI_3001G224300	Cellulose synthase	CTL	individual	6.39437e-10	0.479647	7
SORBI_3008G081100	Uncharacterized protein	CTL	individual	1.60933e-09	0.855842	7
SORBI_3007G110333	Uncharacterized protein	CTL	individual	7.677409e-11	0.957508	6
SORBI_3006G277100	WAT1-related protein	CTL	individual	2.544716e-10	0.533462	6
SORBI_3006G279600	Uncharacterized protein	CTL	individual	2.544716e-10	0.410842	6
SORBI_3006G279700	Major facilitator superfamily (MFS) profile domain-containing protein	CTL	individual	2.544716e-10	0.410842	6
SORBI_3007G114000		CTL	individual	3.221464e-10	0.732875	6
