Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
CTL,species,TG(10:0/16:0/16:0),351,0.033,0.032,0,0,0.122,0.121,-0.001
CTL,species,TG(10:0/16:1/18:1),351,0.105,0.104,0.022,0.022,0.235,0.233,-0.000999999999999987
CTL,species,TG(12:0/12:0/12:0),351,0.048,0.048,0,0,0.147,0.146,0
CTL,species,TG(12:0/12:0/14:0),351,0.043,0.043,0,0,0.136,0.134,0
CTL,species,TG(12:0/12:0/16:1),351,0.078,0.078,0.004,0.004,0.2,0.199,0
CTL,species,TG(12:0/12:0/18:1),351,0.059,0.059,0,0,0.17,0.169,0
CTL,species,TG(12:0/12:0/18:2),351,0.087,0.086,0.011,0.011,0.207,0.205,-0.001
CTL,species,TG(12:0/14:0/16:0),351,0.034,0.034,0,0,0.121,0.12,0
CTL,species,TG(12:0/14:0/18:3),351,0.067,0.066,0,0,0.205,0.203,-0.001
CTL,species,TG(12:0/16:0/16:0),351,0.015,0.015,0,0,0.097,0.097,0
CTL,species,TG(12:0/16:0/18:1),351,0.053,0.052,0,0,0.155,0.154,-0.000999999999999994
CTL,species,TG(12:0/16:0/18:2),351,0.061,0.061,0,0,0.17,0.169,0
CTL,species,TG(12:0/16:0/18:3),351,0,0,0,0,0.045,0.044,0
CTL,species,TG(12:0/18:1/18:1),351,0,0,0,0,0.078,0.077,0
CTL,species,TG(12:0/18:1/18:2),351,0.075,0.074,0.006,0.006,0.186,0.184,-0.001
CTL,species,TG(12:0/18:1/18:3),351,0,0,0,0,0.062,0.061,0
CTL,species,TG(12:0/18:2/18:3),351,0,0,0,0,0.041,0.041,0
CTL,species,TG(14:0/14:0/16:1),351,0.06,0.059,0,0,0.168,0.167,-0.000999999999999994
CTL,species,TG(14:0/14:0/18:0),351,0.016,0.016,0,0,0.095,0.094,0
CTL,species,TG(14:0/16:0/16:0),351,0.024,0.024,0,0,0.116,0.115,0
