Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
LIN,species,TG(10:0/12:0/16:0),357,0,0,0,0,0.043,0.043,0
LIN,species,TG(10:0/14:0/16:0),357,0,0,0,0,0.05,0.05,0
LIN,species,TG(10:0/16:0/16:0),357,0,0,0,0,0.06,0.06,0
LIN,species,TG(12:0/12:0/12:0),357,0,0,0,0,0.053,0.053,0
LIN,species,TG(12:0/12:0/14:0),357,0,0,0,0,0.048,0.048,0
LIN,species,TG(12:0/14:0/16:0),357,0,0,0,0,0.035,0.035,0
LIN,species,TG(12:0/14:0/18:1),357,0,0,0,0,0.058,0.058,0
LIN,species,TG(12:0/16:0/16:0),357,0,0,0,0,0.198,0.197,0
LIN,species,TG(12:0/16:0/18:1),357,0,0,0,0,0.14,0.138,0
LIN,species,TG(12:0/16:0/18:3),357,0,0,0,0,0.095,0.094,0
LIN,species,TG(12:0/18:1/18:3),357,0.237,0.235,0.071,0.07,0.485,0.482,-0.002
LIN,species,TG(12:0/18:2/18:3),357,0.183,0.182,0.004,0.004,0.999,0.999,-0.001
LIN,species,TG(14:0/14:0/16:1),357,0.036,0.036,0,0,0.178,0.177,0
LIN,species,TG(14:0/14:1/18:1),357,0.044,0.044,0,0,0.192,0.19,0
LIN,species,TG(14:0/16:0/18:1),357,0.058,0.058,0,0,0.22,0.218,0
LIN,species,TG(14:0/16:0/18:2),357,0.067,0.066,0,0,0.239,0.237,-0.001
LIN,species,TG(14:0/16:1/18:2),357,0,0,0,0,0.151,0.15,0
LIN,species,TG(14:0/16:1/22:6),357,0.041,0.041,0,0,0.189,0.187,0
LIN,species,TG(14:0/18:1/18:1),357,0.066,0.065,0,0,0.198,0.196,-0.001
LIN,species,TG(14:0/18:1/18:2),357,0.077,0.077,0,0,0.218,0.216,0
LIN,species,TG(14:0/18:1/18:3),357,0.039,0.039,0,0,0.156,0.155,0
LIN,species,TG(14:0/18:2/18:3),357,0.069,0.068,0.007,0.007,0.178,0.177,-0.001
LIN,species,TG(14:0/18:3/18:3),357,0.105,0.104,0.032,0.032,0.222,0.22,-0.000999999999999987
LIN,species,TG(16:0/16:0/16:0),357,0.042,0.041,0,0,0.138,0.137,-0.001
LIN,species,TG(16:0/16:0/18:1),357,0.023,0.023,0,0,0.136,0.134,0
LIN,species,TG(16:0/16:0/20:1),357,0.087,0.086,0.002,0.002,0.228,0.227,-0.001
LIN,species,TG(16:0/16:0/20:3),357,0.024,0.024,0,0,0.148,0.147,0
LIN,species,TG(16:0/18:0/18:2),357,0.054,0.053,0.002,0.002,0.184,0.182,-0.001
LIN,species,TG(16:0/18:0/22:1),357,0.077,0.076,0.005,0.005,0.204,0.202,-0.001
LIN,species,TG(16:0/18:1/18:2),357,0.06,0.059,0,0,0.194,0.193,-0.000999999999999994
LIN,species,TG(16:0/18:1/18:3),357,0.053,0.052,0,0,0.205,0.204,-0.000999999999999994
LIN,species,TG(16:0/18:1/20:0),357,0.037,0.037,0,0,0.172,0.17,0
LIN,species,TG(16:0/18:1/20:2),357,0.053,0.053,0,0,0.191,0.189,0
LIN,species,TG(16:0/18:1/22:0),357,0.064,0.063,0.002,0.002,0.192,0.191,-0.001
LIN,species,TG(16:0/18:2/18:3),357,0.358,0.356,0.144,0.143,0.633,0.63,-0.002
LIN,species,TG(16:0/18:2/22:0),357,0.011,0.011,0,0,0.085,0.084,0
LIN,species,TG(16:0/18:3/18:3),357,0.09,0.09,0.006,0.006,0.234,0.232,0
LIN,species,TG(16:1/16:1/22:5),357,0.019,0.019,0,0,0.126,0.125,0
LIN,species,TG(16:1/20:1/20:2),357,0.074,0.073,0.013,0.013,0.199,0.198,-0.001
LIN,species,TG(18:0/18:0/18:2),357,0.045,0.045,0,0,0.165,0.164,0
LIN,species,TG(18:0/18:1/18:2),357,0.039,0.038,0,0,0.149,0.148,-0.001
LIN,species,TG(18:0/18:1/22:0),357,0.064,0.064,0.004,0.004,0.182,0.181,0
LIN,species,TG(18:0/18:2/18:2),357,0,0,0,0,0.075,0.074,0
LIN,species,TG(18:0/18:2/18:3),357,0.092,0.092,0.019,0.019,0.221,0.219,0
LIN,species,TG(18:0/18:2/22:0),357,0.061,0.06,0,0,0.21,0.209,-0.001
LIN,species,TG(18:1/18:1/18:1),357,0.023,0.022,0,0,0.121,0.12,-0.001
LIN,species,TG(18:1/18:1/18:2),357,0.041,0.041,0,0,0.163,0.161,0
LIN,species,TG(18:1/18:1/20:3),357,0.081,0.08,0.012,0.012,0.205,0.203,-0.001
LIN,species,TG(18:1/18:2/18:2),357,0.46,0.464,0.026,0.026,0.885,0.884,0.004
LIN,species,TG(18:1/18:2/18:3),357,0.075,0.074,0.017,0.017,0.183,0.181,-0.001
LIN,species,TG(18:1/18:2/22:0),357,0.083,0.082,0.012,0.012,0.221,0.22,-0.001
LIN,species,TG(18:1/18:3/22:0),357,0.057,0.057,0,0,0.193,0.192,0
LIN,species,TG(18:1/20:3/22:0),357,0.105,0.104,0.016,0.016,0.253,0.252,-0.000999999999999987
LIN,species,TG(18:2/18:2/18:4),357,0.224,0.223,0.082,0.081,0.431,0.429,-0.001
LIN,species,TG(18:2/18:2/22:1),357,0.056,0.056,0.002,0.002,0.173,0.172,0
LIN,species,TG(18:2/18:3/20:1),357,0.048,0.048,0.002,0.002,0.153,0.152,0
LIN,species,TG(18:2/18:3/20:3),357,0.117,0.116,0.018,0.018,0.312,0.31,-0.001
LIN,species,TG(18:2/18:3/22:1),357,0.284,0.282,0.109,0.108,0.52,0.518,-0.002
LIN,species,TG(18:2/20:2/22:2),357,0.146,0.145,0.031,0.03,0.326,0.324,-0.001
LIN,species,TG(18:2/20:3/22:0),357,0.174,0.173,0.048,0.048,0.381,0.379,-0.001
LIN,species,TG(18:3/18:3/18:3),357,0.248,0.246,0.1,0.099,0.453,0.451,-0.002
LIN,species,TG(18:3/18:3/20:3),357,0.027,0.027,0,0,0.145,0.144,0
LIN,species,TG(8:0/10:0/10:0),357,0.059,0.058,0,0,0.215,0.214,-0.001
