"Species","Normalized","Class","SuperClass","In_CTL","In_LIN","Status"
"TG(18:1/18:2/18:2)","TG(18:1/18:2/18:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:1/18:2/18:3)","TG(18:1/18:2/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:1/18:2/22:0)","TG(18:1/18:2/22:0)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:1/18:3/22:0)","TG(18:1/18:3/22:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:1/20:0/22:1)","TG(18:1/20:0/22:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:1/20:1/22:1)","TG(18:1/20:1/22:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:1/20:3/22:0)","TG(18:1/20:3/22:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:2/18:2/18:4)","TG(18:2/18:2/18:4)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:2/18:2/20:2)","TG(18:2/18:2/20:2)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:2/18:2/22:1)","TG(18:2/18:2/22:1)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:2/18:3/20:1)","TG(18:2/18:3/20:1)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:2/18:3/20:3)","TG(18:2/18:3/20:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:2/18:3/22:1)","TG(18:2/18:3/22:1)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(18:2/20:2/22:2)","TG(18:2/20:2/22:2)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:2/20:3/21:0)","TG(18:2/20:3/21:0)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:2/20:3/22:0)","TG(18:2/20:3/22:0)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:2/22:0/22:3)","TG(18:2/22:0/22:3)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"TG(18:3/18:3/18:3)","TG(18:3/18:3/18:3)","TG","Glycerolipid",TRUE,TRUE,"Common"
"TG(18:3/18:3/20:3)","TG(18:3/18:3/20:3)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(8:0/10:0/10:0)","TG(8:0/10:0/10:0)","TG","Glycerolipid",FALSE,TRUE,"LIN only"
"TG(8:0/16:1/18:1)","TG(8:0/16:1/18:1)","TG","Glycerolipid",TRUE,FALSE,"CTL only"
"trans-EKODE-(E)-Ib","trans-EKODE-(E)-Ib","Other","Fatty acid",TRUE,FALSE,"CTL only"
