"Lipids","CommonName","Class","Category_Code","SubClass","Sub_subclass"
"TG(16:0/18:1/22:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:2/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:0/18:2/22:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:0/18:3/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:1/16:1/22:5)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:1/18:1/18:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(16:1/20:1/20:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(16:1/20:1/22:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:0/18:0/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:0/18:0/20:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:0/18:1/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:0/18:1/22:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:0/18:2/18:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:0/18:2/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:0/18:2/20:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:0/18:2/22:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:1/18:1/18:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:1/18:1/18:2)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:1/18:1/20:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:1/18:2/18:2)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:1/18:2/18:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:1/18:2/22:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:1/18:3/22:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:1/20:0/22:1)","","Glycerolipids","GL","Triacylglycerol","NA"
"TG(18:1/20:1/22:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:1/20:3/22:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:2/18:2/18:4)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:2/18:2/20:2)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:2/18:2/22:1)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:2/18:3/20:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:2/18:3/20:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:2/18:3/22:1)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:2/20:2/22:2)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:2/20:3/21:0)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:2/20:3/22:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:2/22:0/22:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(18:3/18:3/18:3)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(18:3/18:3/20:3)","","Glycerolipids","GL","Triacylglycerol",""
"TG(8:0/10:0/10:0)","","Glycerolipids","GL","Triacylglycerol","TG"
"TG(8:0/16:1/18:1)","","Glycerolipids","GL","Triacylglycerol",""
"Ubidecarenone","Ubidecarenone","Prenol Lipids","PR","Prenol","NA"
"Ubiquinone 9","Ubiquinone 9","Prenol Lipids","PR","Prenol","NA"
"Vitamin K1","Vitamin K1","Prenol Lipids","PR","Prenol","Vitmain"
"Zeaxanthin","Zeaxanthin","Prenol Lipids","PR","Tetraterpenoid","Xanthophyll carotenoid"
"alpha-Tocopherol","alpha-Tocopherol","Prenol Lipids","PR","Prenol","Vitamin"
"beta-Carotene","beta-Carotene","Prenol Lipids","PR","Tetraterpenoid","Carotenoid"
"beta-Zeacarotene","beta-Zeacarotene","Prenol Lipids","PR","Tetraterpenoid","Carotenoid"
"gamma-sitosterol","gamma-sitosterol","Sterol Lipids","ST","Sterol","Phytosterol"
"gibberellic acid","gibberellic acid","Prenol Lipids","PR","Diterpenoid","Plant hormone"
"trans-EKODE-(E)-Ib","trans-EKODE-(E)-Ib","Fatty Acyls","FA","Fatty acid","Oxylipin"
